Topic,Phrase_FR,Phrase_EN
BUSINESS,Le closing avance bien avec la clause de sortie.,The closing is progressing well with the exit clause.
ACCOUNTING,Le lettrage doit être régularisé(e) pour la clôture mensuelle.,Reconciliation must be adjusted for monthly closing.
HR_HIRING,Le package sera versé(e) sur 13 mois.,The package will be paid over 13 months.
TECH,Le module a échoué au runtime.,The module failed at runtime.
TECH,La classe ne compile pas paramètre manquant.,The class does not compile missing parameter.
BUSINESS,Le chiffre d'affaires nécessite un rabais pour valider le budget.,Turnover needs a discount to validate budget.
TECH,Le compilateur est mal indenté(e) dans la librairie.,The compiler is poorly indented in the library.
ACCOUNTING,Le grand livre est incorrecte pour la clôture mensuelle.,The general ledger is incorrect for monthly closing.
TECH,La boucle while ne compile pas dans le main.,The while loop does not compile in main.
INFRA,Le cluster sature il faut remplacer la pièce.,The cluster is maxing out part needs replacement.
CYBER,Tentative d'intrusion intercepté(e) compromission du compte.,Intrusion attempt intercepted account compromise.
BANKING,Augmente le paiement car je n'ai pas fait cet achat.,Increase the payment cause I didn't make this purchase.
HR_HIRING,Le variable est de 45k selon la grille RH.,The variable pay is 45k according to HR grid.
GOSSIP,La directrice est incompétent c'est hallucinant.,The director is incompetent it is mind-blowing.
GOSSIP,C'est une est bête il sert à rien.,She is a is stupid he is useless.
HR_HIRING,La rémunération est validé(e) sur 13 mois.,The remuneration is validated over 13 months.
GOSSIP,Ce type est toxique à la machine à café.,This guy is toxic at the coffee machine.
BANKING,Bloque le virement SEPA immédiatement.,Block the SEPA transfer right now.
HR_COMPLAINT,Cette situation est toxique et je saisis les prud'hommes.,This situation is toxic and I contact labor court.
CYBER,Le scan de vulnérabilité inconnue détectée niveau critique.,Vulnerability scan unknown detected critical level.
GOSSIP,Le nouveau est un fumiste depuis qu'il est arrivé.,The new guy is a slacker since he arrived.
GOSSIP,C'est une est un incapable je le supporte pas.,She is a is incapable I can't stand him.
BUSINESS,Le prospect doit être relancé(e) avec la clause de sortie.,The prospect must be followed up with the exit clause.
CYBER,Le firewall mis en quarantaine brute force.,The firewall quarantined brute force.
ACCOUNTING,Le rapprochement bancaire est imputé(e) par erreur dans les livres légaux.,Bank reconciliation is wrongly allocated in statutory books.
ACCOUNTING,Le compte de résultat n'est pas lettré(e) suite à l'erreur de saisie.,The income statement is not reconciled following data entry error.
ACCOUNTING,La provision n'est pas lettré(e) dans le journal des achats.,The provision is not reconciled in the purchase journal.
INFRA,Le routeur sature sur le node 1.,The router is maxing out on node 1.
INFRA,Le cluster est hors ligne dans la salle serveur.,The cluster is offline in server room.
BANKING,Oppose le paiement code erroné.,Stop the payment wrong code.
HR_HIRING,L'offre est validé(e) hors avantages en nature.,The offer is validated excluding benefits.
INFRA,Le câble Ethernet perd des paquets coupure de courant.,Ethernet cable loses packets power cut.
BANKING,Bloque le paiement code erroné.,Block the payment wrong code.
BUSINESS,Le client doit être relancé(e) pour atteindre les objectifs.,The client must be followed up to reach targets.
BANKING,Valide le sans contact c'est une fraude.,Validate contactless payment it is a fraud.
BUSINESS,Le contrat hésite encore selon le CRM.,The contract is still hesitating according to CRM.
TECH,La variable est déprécié(e) paramètre manquant.,The variable is deprecated missing parameter.
GOSSIP,Mon collègue a eu le poste par piston c'est une blague.,My colleague got the job by nepotism it's a joke.
ACCOUNTING,Le compte de résultat pose problème pour la clôture mensuelle.,The income statement is problematic for monthly closing.
INFRA,L'alimentation est hors ligne il faut remplacer la pièce.,Power supply is offline part needs replacement.
TECH,La requête HTTP est mal indenté(e) dans le main.,The HTTP request is poorly indented in main.
HR_COMPLAINT,Le management doit cesser et j'ai vu la médecine du travail.,The management must stop and I saw occupational health.
TECH,Le pointeur est null paramètre manquant.,The pointer is null missing parameter.
INFRA,Le serveur perd des paquets alerte monitoring.,The server loses packets monitoring alert.
GOSSIP,Mon collègue ne sait rien faire depuis qu'il est arrivé.,My colleague can't do anything since he arrived.
ACCOUNTING,L'actif immobilisé n'est pas comptabilisé(e) dans le logiciel SAP.,Fixed assets is not recorded in SAP software.
BANKING,Autorise le débit immédiatement.,Authorize the debit right now.
CYBER,Le scan de vulnérabilité mis en quarantaine exfiltration de données.,Vulnerability scan quarantined data exfiltration.
CYBER,Payload malveillant mis en quarantaine patch de sécurité requis.,Malicious payload quarantined security patch required.
BUSINESS,L'appel d'offres est envoyé(e) avec la clause de sortie.,The tender is sent with the exit clause.
INFRA,Le cluster est plein à 90% coupure de courant.,The cluster is 90% full power cut.
INFRA,Le serveur est hors ligne erreur matérielle.,The server is offline hardware error.
HR_HIRING,Les RTT est compétitif après la période d'essai.,Days off is competitive after probation.
BUSINESS,Le pipeline se termine demain avec la clause de sortie.,The pipeline ends tomorrow with the exit clause.
BUSINESS,Le chiffre d'affaires doit être relancé(e) face à la concurrence.,Turnover must be followed up against competition.
TECH,Le fichier JSON est mal indenté(e) paramètre manquant.,The JSON file is poorly indented missing parameter.
GOSSIP,La directrice est incompétent à la machine à café.,The director is incompetent at the coffee machine.
BUSINESS,L'appel d'offres est prioritaire selon le CRM.,The tender is priority according to CRM.
CYBER,Tentative d'intrusion inconnue détectée patch de sécurité requis.,Intrusion attempt unknown detected security patch required.
BANKING,Augmente le prélèvement immédiatement.,Increase the direct debit right now.
GOSSIP,Mon collègue est un fumiste depuis qu'il est arrivé.,My colleague is a slacker since he arrived.
CYBER,Le firewall signale une alerte sur la DMZ.,The firewall signals an alert on the DMZ.
INFRA,Le switch est hors ligne alerte monitoring.,The switch is offline monitoring alert.
CYBER,Le firewall sur le port 22 exfiltration de données.,The firewall on port 22 data exfiltration.
CYBER,Le scan de vulnérabilité inconnue détectée par le WAF.,Vulnerability scan unknown detected by the WAF.
HR_COMPLAINT,Ce comportement est anxiogène et je saisis les prud'hommes.,This behavior is anxiety-inducing and I contact labor court.
INFRA,Le câble Ethernet est hors ligne il faut remplacer la pièce.,Ethernet cable is offline part needs replacement.
INFRA,Le cluster a grillé il faut remplacer la pièce.,The cluster burned out part needs replacement.
HR_HIRING,Le variable est de 45k sur 13 mois.,The variable pay is 45k over 13 months.
ACCOUNTING,Le rapprochement bancaire n'est pas lettré(e) avant l'audit.,Bank reconciliation is not reconciled before the audit.
BANKING,Vérifie le débit suite au vol.,Check the debit following theft.
TECH,La requête HTTP lance une stacktrace paramètre manquant.,The HTTP request throws a stacktrace missing parameter.
ACCOUNTING,Le passif circulant est imputé(e) par erreur au passif du bilan.,Current liabilities is wrongly allocated on the liability side.
TECH,La fonction est déprécié(e) erreur de syntaxe.,The function is deprecated syntax error.
TECH,La variable est mal indenté(e) sur la branche dev.,The variable is poorly indented on dev branch.
TECH,La fonction renvoie une erreur 404 dans la librairie.,The function returns a 404 error in the library.
ACCOUNTING,La liasse fiscale n'est pas comptabilisé(e) dans le journal des achats.,Tax package is not recorded in the purchase journal.
HR_HIRING,La prime sera versé(e) hors avantages en nature.,The bonus will be paid excluding benefits.
HR_COMPLAINT,Ma sécurité une plainte selon le règlement intérieur.,My safety a complaint according to internal rules.
CYBER,L'authentification 2FA contourne la sécurité brute force.,2FA authentication bypasses security brute force.
BANKING,Confirme le paiement je suis à découvert.,Confirm the payment I am overdrawn.
HR_COMPLAINT,Le management une plainte et j'ai vu la médecine du travail.,The management a complaint and I saw occupational health.
HR_COMPLAINT,Je subis est une faute grave vis-à-vis de l'équipe.,I suffer is serious misconduct regarding the team.
HR_COMPLAINT,Je subis doit cesser au travail.,I suffer must stop at work.
ACCOUNTING,Le rapprochement bancaire est fausse dans le logiciel SAP.,Bank reconciliation is wrong in SAP software.
INFRA,La carte mère a grillé ping élevé.,The motherboard burned out high ping.
ACCOUNTING,Le bilan est en attente avant l'audit.,The balance sheet is pending before the audit.
CYBER,L'authentification 2FA signale une alerte patch de sécurité requis.,2FA authentication signals an alert security patch required.
BUSINESS,L'appel d'offres est bloqué(e) au juridique pour valider le budget.,The tender is stuck at legal to validate budget.
INFRA,Le VPN perd des paquets sur le node 1.,The VPN loses packets on node 1.
INFRA,Le routeur surchauffe ping élevé.,The router is overheating high ping.
INFRA,La mémoire RAM est down sur le node 1.,RAM memory is down on node 1.
CYBER,Attaque DDoS a été bloqué(e) brute force.,DDoS Attack was blocked brute force.
TECH,La fonction est undefined à la ligne 42.,The function is undefined at line 42.
BUSINESS,Le partenariat doit être relancé(e) sur le marché US.,The partnership must be followed up on the US market.
CYBER,Une faille XSS a été bloqué(e) sur la DMZ.,XSS vulnerability was blocked on the DMZ.
BUSINESS,La marge commerciale est gagné(e) pour valider le budget.,Commercial margin is won to validate budget.
CYBER,Une faille XSS contourne la sécurité par le WAF.,XSS vulnerability bypasses security by the WAF.
INFRA,La carte mère perd des paquets dans la salle serveur.,The motherboard loses packets in server room.
INFRA,La carte mère doit être redémarré erreur matérielle.,The motherboard must be rebooted hardware error.
HR_COMPLAINT,La pression est inacceptable depuis des mois.,The pressure is unacceptable for months.
ACCOUNTING,L'écriture comptable doit être régularisé(e) dans le logiciel SAP.,The accounting entry must be adjusted in SAP software.
TECH,L'API REST est en lecture seule erreur de syntaxe.,The REST API is read-only syntax error.
BUSINESS,Le partenariat se termine demain pour valider le budget.,The partnership ends tomorrow to validate budget.
CYBER,Tentative d'intrusion a été bloqué(e) depuis une IP suspecte.,Intrusion attempt was blocked from suspicious IP.
BUSINESS,La propale hésite encore pour valider le budget.,The proposal is still hesitating to validate budget.
TECH,La fonction est déprécié(e) dans la librairie.,The function is deprecated in the library.
GOSSIP,Elle se la raconte il sert à rien.,She shows off he is useless.
BUSINESS,La négociation avance bien avec la clause de sortie.,The negotiation is progressing well with the exit clause.
TECH,L'argument est en lecture seule fuite de mémoire.,The argument is read-only memory leak.
HR_HIRING,La mutuelle dépend de l'expérience sur 13 mois.,Health insurance depends on experience over 13 months.
BUSINESS,Le chiffre d'affaires nécessite un rabais selon le CRM.,Turnover needs a discount according to CRM.
INFRA,Le routeur fait du bruit sur le node 1.,The router makes noise on node 1.
HR_HIRING,Le package dépend de l'expérience sur 13 mois.,The package depends on experience over 13 months.
ACCOUNTING,La balance âgée est imputé(e) par erreur selon les normes IFRS.,The aging balance is wrongly allocated according to IFRS.
TECH,La requête HTTP est mal indenté(e) paramètre manquant.,The HTTP request is poorly indented missing parameter.
BANKING,Vérifie le débit immédiatement.,Check the debit right now.
CYBER,L'antivirus intercepté(e) depuis une IP suspecte.,The antivirus intercepted from suspicious IP.
INFRA,Le processeur CPU a grillé coupure de courant.,The CPU processor burned out power cut.
BANKING,Augmente le virement je suis à découvert.,Increase the transfer I am overdrawn.
HR_COMPLAINT,Je subis une rupture conventionnelle immédiatement.,I suffer a mutual termination immediately.
BANKING,Débloque le découvert sur le compte joint.,Unblock the overdraft on the joint account.
MISC,Bon week-end.,Have a nice weekend.
CYBER,L'accès root inconnue détectée patch de sécurité requis.,Root access unknown detected security patch required.
TECH,Le script Python n'est pas typé(e) paramètre manquant.,The Python script is not typed missing parameter.
INFRA,Le routeur est hors ligne ping élevé.,The router is offline high ping.
BANKING,Augmente le découvert tout de suite.,Increase the overdraft immediately.
BUSINESS,Le partenariat nécessite un rabais pour valider le budget.,The partnership needs a discount to validate budget.
INFRA,Le processeur CPU est plein à 90% il faut remplacer la pièce.,The CPU processor is 90% full part needs replacement.
BUSINESS,Le client est perdu(e) sur le marché US.,The client is lost on the US market.
GOSSIP,La directrice se la raconte franchement.,The director shows off honestly.
TECH,Le module est null dans la librairie.,The module is null in the library.
MISC,Super merci.,Great thanks.
INFRA,La bande passante sature il faut remplacer la pièce.,Bandwidth is maxing out part needs replacement.
TECH,La fonction n'est pas typé(e) fuite de mémoire.,The function is not typed memory leak.
ACCOUNTING,La balance âgée n'est pas comptabilisé(e) au passif du bilan.,The aging balance is not recorded on the liability side.
BUSINESS,Le prospect doit être relancé(e) sur le marché US.,The prospect must be followed up on the US market.
TECH,Le compilateur a échoué après le commit.,The compiler failed after commit.
CYBER,Tentative d'intrusion sur le port 22 brute force.,Intrusion attempt on port 22 brute force.
INFRA,Le switch sature sur le node 1.,The switch is maxing out on node 1.
CYBER,Une faille XSS sur le port 22 patch de sécurité requis.,XSS vulnerability on port 22 security patch required.
HR_HIRING,Les RTT est négociable avec une prime à la signature.,Days off is negotiable with a signing bonus.
ACCOUNTING,La facture fournisseur est fausse suite à l'erreur de saisie.,Supplier invoice is wrong following data entry error.
INFRA,La carte mère a grillé sur le node 1.,The motherboard burned out on node 1.
BANKING,Annule la transaction tout de suite.,Cancel the transaction immediately.
HR_COMPLAINT,Je subis une plainte selon le règlement intérieur.,I suffer a complaint according to internal rules.
BUSINESS,La négociation nécessite un rabais pour le Q4.,The negotiation needs a discount for Q4.
ACCOUNTING,L'actif immobilisé est fausse dans les livres légaux.,Fixed assets is wrong in statutory books.
ACCOUNTING,Le rapprochement bancaire pose problème avant l'audit.,Bank reconciliation is problematic before the audit.
INFRA,La latence réseau est déconnecté sur le node 1.,Network latency is disconnected on node 1.
BUSINESS,Le client est bloqué(e) au juridique pour le Q4.,The client is stuck at legal for Q4.
INFRA,Le disque dur est down alerte monitoring.,The hard drive is down monitoring alert.
GOSSIP,Elle est nul à chier franchement.,She is absolutely useless honestly.
INFRA,La bande passante est déconnecté il faut remplacer la pièce.,Bandwidth is disconnected part needs replacement.
ACCOUNTING,L'actif immobilisé doit être régularisé(e) dans le logiciel SAP.,Fixed assets must be adjusted in SAP software.
BUSINESS,Le chiffre d'affaires est envoyé(e) pour valider le budget.,Turnover is sent to validate budget.
BANKING,Refuse le découvert pour suspicion.,Decline the overdraft for suspicion.
BANKING,Oppose ma carte sur le compte joint.,Stop my card on the joint account.
BANKING,Bloque le sans contact car je n'ai pas fait cet achat.,Block contactless payment cause I didn't make this purchase.
BANKING,Refuse le paiement sur le compte joint.,Decline the payment on the joint account.
BANKING,Oppose la transaction suite au vol.,Stop the transaction following theft.
HR_COMPLAINT,Je signale est une faute grave au travail.,I report is serious misconduct at work.
HR_COMPLAINT,Je demande une plainte immédiatement.,I request a complaint immediately.
BANKING,Valide le prélèvement sans contact.,Validate the direct debit contactless.
TECH,Le build n'est pas typé(e) après le commit.,The build is not typed after commit.
INFRA,La bande passante est hors ligne sur le node 1.,Bandwidth is offline on node 1.
ACCOUNTING,Le bilan est incorrecte au passif du bilan.,The balance sheet is incorrect on the liability side.
GOSSIP,Il est incompétent c'est une blague.,He is incompetent it's a joke.
TECH,L'argument est mal indenté(e) à la ligne 42.,The argument is poorly indented at line 42.
BUSINESS,La propale est prioritaire pour augmenter la marge.,The proposal is priority to increase margin.
HR_HIRING,Les RTT est validé(e) après la période d'essai.,Days off is validated after probation.
BANKING,Débloque le prélèvement pour suspicion.,Unblock the direct debit for suspicion.
INFRA,Le ventilateur est déconnecté dans la salle serveur.,The fan is disconnected in server room.
INFRA,Le VPN est déconnecté coupure de courant.,The VPN is disconnected power cut.
INFRA,Le switch ne répond plus sur le node 1.,The switch is not responding on node 1.
BUSINESS,La négociation est bloqué(e) au juridique pour valider le budget.,The negotiation is stuck at legal to validate budget.
HR_HIRING,Ton salaire est compétitif si tu signes demain.,Your salary is competitive if you sign tomorrow.
BUSINESS,La propale est prioritaire sur le marché US.,The proposal is priority on the US market.
TECH,Le build provoque un segfault au runtime.,The build causes a segfault at runtime.
ACCOUNTING,Le passif circulant ne s'équilibre pas d'un point de vue comptable.,Current liabilities does not balance from an accounting perspective.
GOSSIP,Le nouveau est un incapable il sert à rien.,The new guy is incapable he is useless.
HR_COMPLAINT,Je signale est inacceptable et je saisis les prud'hommes.,I report is unacceptable and I contact labor court.
CYBER,L'accès root intercepté(e) niveau critique.,Root access intercepted critical level.
ACCOUNTING,Le passif circulant est en attente sur l'exercice N-1.,Current liabilities is pending on year N-1.
HR_HIRING,La rémunération sera versé(e) après la période d'essai.,The remuneration will be paid after probation.
TECH,Le fichier JSON provoque un segfault dans la librairie.,The JSON file causes a segfault in the library.
BANKING,Autorise le paiement sur le compte joint.,Authorize the payment on the joint account.
TECH,Le pointeur est mal indenté(e) dans le main.,The pointer is poorly indented in main.
INFRA,Le ventilateur ne répond plus alerte monitoring.,The fan is not responding monitoring alert.
HR_HIRING,La voiture de fonction sera versé(e) dans le contrat de travail.,Company car will be paid in the employment contract.
INFRA,Le cluster fait du bruit sur le node 1.,The cluster makes noise on node 1.
TECH,L'API REST provoque un segfault paramètre manquant.,The REST API causes a segfault missing parameter.
BANKING,Suspends le virement SEPA pour suspicion.,Suspend the SEPA transfer for suspicion.
BANKING,Oppose le chèque car je n'ai pas fait cet achat.,Stop the check cause I didn't make this purchase.
GOSSIP,Ce type est un fumiste à la machine à café.,This guy is a slacker at the coffee machine.
BUSINESS,Le deal est prioritaire pour le Q4.,The deal is priority for Q4.
HR_HIRING,La mutuelle augmente de 10% pour ce poste senior.,Health insurance increases by 10% for this senior position.
BANKING,Bloque le découvert je suis à découvert.,Block the overdraft I am overdrawn.
ACCOUNTING,La liasse fiscale n'est pas lettré(e) dans les livres légaux.,Tax package is not reconciled in statutory books.
GOSSIP,C'est un est toxique tout le monde le sait.,He is a is toxic everyone knows it.
BUSINESS,La négociation est gagné(e) pour atteindre les objectifs.,The negotiation is won to reach targets.
BANKING,Suspends le sans contact pour suspicion.,Suspend contactless payment for suspicion.
BUSINESS,Le chiffre d'affaires est bloqué(e) au juridique selon le CRM.,Turnover is stuck at legal according to CRM.
GOSSIP,Ce type est bête il sert à rien.,This guy is stupid he is useless.
INFRA,La mémoire RAM fait du bruit ping élevé.,RAM memory makes noise high ping.
HR_HIRING,La mutuelle est au-dessus du marché si tu signes demain.,Health insurance is above market if you sign tomorrow.
GOSSIP,Le chef est un lèche-bottes je le supporte pas.,The boss is a bootlicker I can't stand him.
INFRA,Le VPN est hors ligne ping élevé.,The VPN is offline high ping.
BUSINESS,Le deal se termine demain avec la clause de sortie.,The deal ends tomorrow with the exit clause.
CYBER,Attaque DDoS contourne la sécurité brute force.,DDoS Attack bypasses security brute force.
INFRA,La latence réseau surchauffe sur le node 1.,Network latency is overheating on node 1.
BUSINESS,Le contrat hésite encore face à la concurrence.,The contract is still hesitating against competition.
TECH,Le module n'est pas typé(e) après le commit.,The module is not typed after commit.
GOSSIP,C'est une est bizarre il sert à rien.,She is a is weird he is useless.
ACCOUNTING,Le bilan est fausse dans le journal des achats.,The balance sheet is wrong in the purchase journal.
TECH,Le build est en lecture seule problème de dépendance.,The build is read-only dependency issue.
GOSSIP,C'est un ne sait rien faire franchement.,He is a can't do anything honestly.
BANKING,Vérifie le virement SEPA c'est une fraude.,Check the SEPA transfer it is a fraud.
BANKING,Bloque le virement car je n'ai pas fait cet achat.,Block the transfer cause I didn't make this purchase.
INFRA,La mémoire RAM est déconnecté erreur matérielle.,RAM memory is disconnected hardware error.
HR_HIRING,Les stock-options dépend de l'expérience sur 13 mois.,Stock options depends on experience over 13 months.
BANKING,Valide le paiement c'est une fraude.,Validate the payment it is a fraud.
TECH,La boucle while est undefined fuite de mémoire.,The while loop is undefined memory leak.
TECH,Le script Python renvoie une erreur 404 problème de dépendance.,The Python script returns a 404 error dependency issue.
ACCOUNTING,L'avoir client montre un écart pour la clôture mensuelle.,Customer credit note shows a discrepancy for monthly closing.
ACCOUNTING,L'amortissement n'est pas comptabilisé(e) suite à l'erreur de saisie.,The depreciation is not recorded following data entry error.
TECH,Le framework renvoie une erreur 404 erreur de syntaxe.,The framework returns a 404 error syntax error.
BANKING,Débloque le sans contact pour suspicion.,Unblock contactless payment for suspicion.
ACCOUNTING,Le bilan est à revoir pour la clôture mensuelle.,The balance sheet needs review for monthly closing.
BUSINESS,Le prospect se termine demain sur le marché US.,The prospect ends tomorrow on the US market.
GOSSIP,C'est un est toxique je le supporte pas.,He is a is toxic I can't stand him.
TECH,Le script Python lance une stacktrace problème de dépendance.,The Python script throws a stacktrace dependency issue.
HR_HIRING,L'offre sera versé(e) pour ce poste senior.,The offer will be paid for this senior position.
ACCOUNTING,Le compte de résultat manque de justificatif pour la clôture mensuelle.,The income statement lacks proof for monthly closing.
INFRA,Le VPN surchauffe alerte monitoring.,The VPN is overheating monitoring alert.
ACCOUNTING,Le bilan est imputé(e) par erreur selon les normes IFRS.,The balance sheet is wrongly allocated according to IFRS.
HR_COMPLAINT,Je subis ne respecte pas le droit au travail.,I suffer does not respect the law at work.
HR_HIRING,L'offre est au-dessus du marché hors avantages en nature.,The offer is above market excluding benefits.
TECH,L'argument renvoie une erreur 404 sur la branche dev.,The argument returns a 404 error on dev branch.
CYBER,Certificat SSL signale une alerte brute force.,SSL Certificate signals an alert brute force.
BANKING,Annule le sans contact sur le compte joint.,Cancel contactless payment on the joint account.
BUSINESS,La marge commerciale est bloqué(e) au juridique sur le marché US.,Commercial margin is stuck at legal on the US market.
CYBER,Le phishing en cours niveau critique.,Phishing in progress critical level.
BUSINESS,La marge commerciale est gagné(e) avant la deadline.,Commercial margin is won before the deadline.
HR_HIRING,L'embauche est de 45k après la période d'essai.,The hiring is 45k after probation.
HR_HIRING,La rémunération est trop bas(se) après la période d'essai.,The remuneration is too low after probation.
BANKING,Débloque le prélèvement c'est une fraude.,Unblock the direct debit it is a fraud.
BANKING,Annule le virement SEPA immédiatement.,Cancel the SEPA transfer right now.
ACCOUNTING,La balance âgée ne s'équilibre pas pour la clôture mensuelle.,The aging balance does not balance for monthly closing.
BUSINESS,Le client doit être relancé(e) avec la clause de sortie.,The client must be followed up with the exit clause.
HR_HIRING,Les RTT est compétitif selon la grille RH.,Days off is competitive according to HR grid.
ACCOUNTING,L'actif immobilisé doit être régularisé(e) suite à l'erreur de saisie.,Fixed assets must be adjusted following data entry error.
CYBER,Le scan de vulnérabilité est expiré(e) brute force.,Vulnerability scan is expired brute force.
BANKING,Annule le paiement je suis à découvert.,Cancel the payment I am overdrawn.
BUSINESS,La marge commerciale avance bien avant la deadline.,Commercial margin is progressing well before the deadline.
BANKING,Vérifie ma carte code erroné.,Check my card wrong code.
ACCOUNTING,Le grand livre est fausse pour la clôture mensuelle.,The general ledger is wrong for monthly closing.
HR_HIRING,La rémunération sera versé(e) si tu signes demain.,The remuneration will be paid if you sign tomorrow.
