Phrase_FR,Phrase_EN,Topic
Le prospect fait un scandale et il part à la concurrence.,The prospect is making a scene and he goes to competition.,BUSINESS
Une attaque volumétrique fait tomber le site mitigation en cours.,A volumetric attack takes down the site mitigation in progress.,CYBER
Le client est très mécontent car le service est nul.,The client is very dissatisfied because the service sucks.,BUSINESS
Un flood SYN fait tomber le site depuis des IP chinoises.,A SYN flood takes down the site from Chinese IPs.,CYBER
Le client VIP refuse de payer et il part à la concurrence.,The VIP client refuses to pay and he goes to competition.,BUSINESS
Le pod est corrompu(e) logs inaccessibles.,The pod is corrupted logs inaccessible.,INFRA
L'exception lance une erreur ligne 40.,The exception throws an error line 40.,TECH
Le conteneur ne monte pas le volume sur le noeud master.,The container does not mount volume on the master node.,INFRA
Le noyau Linux est corrompu(e) problème de ressources.,The Linux kernel is corrupted resource issue.,INFRA
Un flood SYN cible le load balancer mitigation en cours.,A SYN flood targets the load balancer mitigation in progress.,CYBER
L'image Docker est corrompu(e) après la mise à jour.,The Docker image is corrupted after update.,INFRA
Le namespace est corrompu(e) logs inaccessibles.,The namespace is corrupted logs inaccessible.,INFRA
Le code lance une erreur ligne 40.,The code throws an error line 40.,TECH
L'acheteur a envoyé une mise en demeure il faut l'appeler d'urgence.,The buyer sent a formal notice must call him urgently.,BUSINESS
Le botnet bombarde le serveur depuis des IP chinoises.,The botnet bombs the server from Chinese IPs.,CYBER
Le botnet bombarde le serveur sur l'IP publique.,The botnet bombs the server on public IP.,CYBER
Le démon est corrompu(e) problème de ressources.,The daemon is corrupted resource issue.,INFRA
Le pod renvoie une erreur OOMKilled sur le noeud master.,The pod returns an OOMKilled error on the master node.,INFRA
La syntaxe lance une erreur ligne 40.,The syntax throws an error line 40.,TECH
Le directeur demande un remboursement à cause du retard.,The director asks for a refund because of the delay.,BUSINESS
Le prospect demande un remboursement car le service est nul.,The prospect asks for a refund because the service sucks.,BUSINESS
Une attaque volumétrique cible le load balancer impact critique.,A volumetric attack targets the load balancer critical impact.,CYBER
Le botnet est détecté(e) par l'anti-DDoS trafic sortant bloqué.,The botnet is detected by anti-DDoS outgoing traffic blocked.,CYBER
Le directeur refuse de payer et il part à la concurrence.,The director refuses to pay and he goes to competition.,BUSINESS
Le grand compte est hors de lui sur le dossier en cours.,The key account is beside himself on the current file.,BUSINESS
Un flood SYN sature la bande passante depuis des IP chinoises.,A SYN flood saturates bandwidth from Chinese IPs.,CYBER
Une attaque par amplification sature la bande passante mitigation en cours.,Amplification attack saturates bandwidth mitigation in progress.,CYBER
L'acheteur est hors de lui à cause du retard.,The buyer is beside himself because of the delay.,BUSINESS
Le namespace doit être redémarré(e) erreur de config.,The namespace must be restarted config error.,INFRA
Le noyau Linux est corrompu(e) logs inaccessibles.,The Linux kernel is corrupted logs inaccessible.,INFRA
Le kubelet doit être redémarré(e) sur le noeud master.,The kubelet must be restarted on the master node.,INFRA
Le démon a fait un kernel panic vérifie le fichier yaml.,The daemon caused a kernel panic check yaml file.,INFRA
Le namespace ne démarre pas après la mise à jour.,The namespace does not start after update.,INFRA
Le grand compte fait un scandale c'est inadmissible.,The key account is making a scene it is unacceptable.,BUSINESS
La candidature est validé(e) par les RH.,The application is validated by HR.,HR_HIRING
Le noyau Linux a fait un kernel panic après la mise à jour.,The Linux kernel caused a kernel panic after update.,INFRA
Le cluster K8s ne monte pas le volume vérifie le fichier yaml.,The K8s cluster does not mount volume check yaml file.,INFRA
Le service systemd ne démarre pas problème de ressources.,The systemd service does not start resource issue.,INFRA
Le grand compte est très mécontent c'est inadmissible.,The key account is very dissatisfied it is unacceptable.,BUSINESS
Le pod renvoie une erreur OOMKilled après la mise à jour.,The pod returns an OOMKilled error after update.,INFRA
L'image Docker est en état CrashLoopBackOff sur le noeud master.,The Docker image is in CrashLoopBackOff state on the master node.,INFRA
Une attaque DDoS sature la bande passante impact critique.,A DDoS attack saturates bandwidth critical impact.,CYBER
L'image Docker ne démarre pas logs inaccessibles.,The Docker image does not start logs inaccessible.,INFRA
Le grand compte est hors de lui à cause du retard.,The key account is beside himself because of the delay.,BUSINESS
Le namespace est corrompu(e) erreur de config.,The namespace is corrupted config error.,INFRA
Le prospect est très mécontent car le service est nul.,The prospect is very dissatisfied because the service sucks.,BUSINESS
Le directeur a envoyé une mise en demeure sur le dossier en cours.,The director sent a formal notice on the current file.,BUSINESS
L'image Docker a crashé logs inaccessibles.,The Docker image crashed logs inaccessible.,INFRA
Le grand compte a envoyé une mise en demeure et il part à la concurrence.,The key account sent a formal notice and he goes to competition.,BUSINESS
Le conteneur renvoie une erreur OOMKilled après la mise à jour.,The container returns an OOMKilled error after update.,INFRA
Une attaque par amplification bombarde le serveur sur l'IP publique.,Amplification attack bombs the server on public IP.,CYBER
Le pod ne monte pas le volume problème de ressources.,The pod does not mount volume resource issue.,INFRA
Une attaque volumétrique a submergé le firewall sur l'IP publique.,A volumetric attack overwhelmed the firewall on public IP.,CYBER
Le client VIP est hors de lui car le service est nul.,The VIP client is beside himself because the service sucks.,BUSINESS
Le démon ne monte pas le volume sur le noeud master.,The daemon does not mount volume on the master node.,INFRA
Le service systemd doit être redémarré(e) problème de ressources.,The systemd service must be restarted resource issue.,INFRA
Le trafic illégitime sature la bande passante depuis des IP chinoises.,Illegitimate traffic saturates bandwidth from Chinese IPs.,CYBER
Le conteneur a fait un kernel panic problème de ressources.,The container caused a kernel panic resource issue.,INFRA
L'acheteur est hors de lui et il part à la concurrence.,The buyer is beside himself and he goes to competition.,BUSINESS
Le trafic illégitime provocant un black-out c'est massif.,Illegitimate traffic causing a blackout it is massive.,CYBER
Un flood UDP fait tomber le site trafic sortant bloqué.,A UDP flood takes down the site outgoing traffic blocked.,CYBER
Le directeur menace de partir il faut l'appeler d'urgence.,The director threatens to leave must call him urgently.,BUSINESS
Le service systemd ne démarre pas sur le noeud master.,The systemd service does not start on the master node.,INFRA
Le noyau Linux est en état CrashLoopBackOff sur le noeud master.,The Linux kernel is in CrashLoopBackOff state on the master node.,INFRA
Le démon doit être redémarré(e) après la mise à jour.,The daemon must be restarted after update.,INFRA
Le noyau Linux a crashé logs inaccessibles.,The Linux kernel crashed logs inaccessible.,INFRA
Le noyau Linux doit être redémarré(e) erreur de config.,The Linux kernel must be restarted config error.,INFRA
Un flood UDP bombarde le serveur c'est massif.,A UDP flood bombs the server it is massive.,CYBER
Une attaque par amplification provocant un black-out trafic sortant bloqué.,Amplification attack causing a blackout outgoing traffic blocked.,CYBER
Le pod doit être redémarré(e) erreur de config.,The pod must be restarted config error.,INFRA
Une attaque par amplification provocant un black-out impact critique.,Amplification attack causing a blackout critical impact.,CYBER
Le conteneur renvoie une erreur OOMKilled logs inaccessibles.,The container returns an OOMKilled error logs inaccessible.,INFRA
Le service systemd ne démarre pas erreur de config.,The systemd service does not start config error.,INFRA
Un flood UDP bombarde le serveur sur l'IP publique.,A UDP flood bombs the server on public IP.,CYBER
Le client VIP est très mécontent c'est inadmissible.,The VIP client is very dissatisfied it is unacceptable.,BUSINESS
L'acheteur refuse de payer et il part à la concurrence.,The buyer refuses to pay and he goes to competition.,BUSINESS
Un flood UDP provocant un black-out trafic sortant bloqué.,A UDP flood causing a blackout outgoing traffic blocked.,CYBER
Le noyau Linux a crashé erreur de config.,The Linux kernel crashed config error.,INFRA
L'exception est invalide ligne 40.,The exception is invalid line 40.,TECH
Le namespace doit être redémarré(e) logs inaccessibles.,The namespace must be restarted logs inaccessible.,INFRA
Le trafic illégitime bombarde le serveur trafic sortant bloqué.,Illegitimate traffic bombs the server outgoing traffic blocked.,CYBER
Le namespace est en état CrashLoopBackOff vérifie le fichier yaml.,The namespace is in CrashLoopBackOff state check yaml file.,INFRA
Le conteneur a crashé logs inaccessibles.,The container crashed logs inaccessible.,INFRA
Un flood SYN cible le load balancer trafic sortant bloqué.,A SYN flood targets the load balancer outgoing traffic blocked.,CYBER
Le démon renvoie une erreur OOMKilled problème de ressources.,The daemon returns an OOMKilled error resource issue.,INFRA
Le pod doit être redémarré(e) après la mise à jour.,The pod must be restarted after update.,INFRA
Le prospect est très mécontent sur le dossier en cours.,The prospect is very dissatisfied on the current file.,BUSINESS
Le service systemd ne démarre pas logs inaccessibles.,The systemd service does not start logs inaccessible.,INFRA
Le kubelet est en état CrashLoopBackOff vérifie le fichier yaml.,The kubelet is in CrashLoopBackOff state check yaml file.,INFRA
Un déni de service est détecté(e) par l'anti-DDoS impact critique.,A denial of service is detected by anti-DDoS critical impact.,CYBER
L'acheteur gueule au téléphone et il part à la concurrence.,The buyer is yelling on the phone and he goes to competition.,BUSINESS
L'acheteur demande un remboursement il faut l'appeler d'urgence.,The buyer asks for a refund must call him urgently.,BUSINESS
Le client est très mécontent et il part à la concurrence.,The client is very dissatisfied and he goes to competition.,BUSINESS
Le démon ne monte pas le volume erreur de config.,The daemon does not mount volume config error.,INFRA
Le trafic illégitime a submergé le firewall sur l'IP publique.,Illegitimate traffic overwhelmed the firewall on public IP.,CYBER
Le noyau Linux est corrompu(e) sur le noeud master.,The Linux kernel is corrupted on the master node.,INFRA
Le prospect gueule au téléphone suite à la panne.,The prospect is yelling on the phone following the outage.,BUSINESS
Un flood SYN bombarde le serveur impact critique.,A SYN flood bombs the server critical impact.,CYBER
L'acheteur demande un remboursement à cause du retard.,The buyer asks for a refund because of the delay.,BUSINESS
Le démon ne démarre pas vérifie le fichier yaml.,The daemon does not start check yaml file.,INFRA
Une attaque volumétrique sature la bande passante impact critique.,A volumetric attack saturates bandwidth critical impact.,CYBER
Le client VIP fait un scandale car le service est nul.,The VIP client is making a scene because the service sucks.,BUSINESS
Le trafic illégitime est détecté(e) par l'anti-DDoS trafic sortant bloqué.,Illegitimate traffic is detected by anti-DDoS outgoing traffic blocked.,CYBER
Une attaque par amplification provocant un black-out depuis des IP chinoises.,Amplification attack causing a blackout from Chinese IPs.,CYBER
Le grand compte veut résilier son contrat et il part à la concurrence.,The key account wants to terminate his contract and he goes to competition.,BUSINESS
L'image Docker ne démarre pas vérifie le fichier yaml.,The Docker image does not start check yaml file.,INFRA
Le trafic illégitime sature la bande passante mitigation en cours.,Illegitimate traffic saturates bandwidth mitigation in progress.,CYBER
L'acheteur demande un remboursement car le service est nul.,The buyer asks for a refund because the service sucks.,BUSINESS
Le service systemd ne démarre pas après la mise à jour.,The systemd service does not start after update.,INFRA
Le client fait un scandale suite à la panne.,The client is making a scene following the outage.,BUSINESS
Une attaque volumétrique bombarde le serveur depuis des IP chinoises.,A volumetric attack bombs the server from Chinese IPs.,CYBER
Le client est hors de lui suite à la panne.,The client is beside himself following the outage.,BUSINESS
Une attaque par amplification cible le load balancer trafic sortant bloqué.,Amplification attack targets the load balancer outgoing traffic blocked.,CYBER
Le pod ne démarre pas sur le noeud master.,The pod does not start on the master node.,INFRA
Le service systemd ne monte pas le volume vérifie le fichier yaml.,The systemd service does not mount volume check yaml file.,INFRA
Un déni de service cible le load balancer trafic sortant bloqué.,A denial of service targets the load balancer outgoing traffic blocked.,CYBER
Le kubelet renvoie une erreur OOMKilled sur le noeud master.,The kubelet returns an OOMKilled error on the master node.,INFRA
Le client VIP est hors de lui et il part à la concurrence.,The VIP client is beside himself and he goes to competition.,BUSINESS
Le directeur est furieux suite à la panne.,The director is furious following the outage.,BUSINESS
Le démon a crashé erreur de config.,The daemon crashed config error.,INFRA
Le grand compte gueule au téléphone c'est inadmissible.,The key account is yelling on the phone it is unacceptable.,BUSINESS
Le démon renvoie une erreur OOMKilled logs inaccessibles.,The daemon returns an OOMKilled error logs inaccessible.,INFRA
Le trafic illégitime cible le load balancer depuis des IP chinoises.,Illegitimate traffic targets the load balancer from Chinese IPs.,CYBER
L'acheteur fait un scandale à cause du retard.,The buyer is making a scene because of the delay.,BUSINESS
Le démon est en état CrashLoopBackOff vérifie le fichier yaml.,The daemon is in CrashLoopBackOff state check yaml file.,INFRA
Un flood UDP sature la bande passante impact critique.,A UDP flood saturates bandwidth critical impact.,CYBER
Le prospect est très mécontent il faut l'appeler d'urgence.,The prospect is very dissatisfied must call him urgently.,BUSINESS
Le conteneur est corrompu(e) après la mise à jour.,The container is corrupted after update.,INFRA
Une attaque DDoS est détecté(e) par l'anti-DDoS depuis des IP chinoises.,A DDoS attack is detected by anti-DDoS from Chinese IPs.,CYBER
Le démon doit être redémarré(e) logs inaccessibles.,The daemon must be restarted logs inaccessible.,INFRA
Le kubelet doit être redémarré(e) logs inaccessibles.,The kubelet must be restarted logs inaccessible.,INFRA
Le noyau Linux ne démarre pas après la mise à jour.,The Linux kernel does not start after update.,INFRA
Le cluster K8s doit être redémarré(e) erreur de config.,The K8s cluster must be restarted config error.,INFRA
Le client VIP refuse de payer suite à la panne.,The VIP client refuses to pay following the outage.,BUSINESS
Le client VIP a envoyé une mise en demeure suite à la panne.,The VIP client sent a formal notice following the outage.,BUSINESS
Une attaque volumétrique est détecté(e) par l'anti-DDoS sur l'IP publique.,A volumetric attack is detected by anti-DDoS on public IP.,CYBER
Une attaque volumétrique sature la bande passante depuis des IP chinoises.,A volumetric attack saturates bandwidth from Chinese IPs.,CYBER
L'image Docker est corrompu(e) logs inaccessibles.,The Docker image is corrupted logs inaccessible.,INFRA
Le noyau Linux doit être redémarré(e) logs inaccessibles.,The Linux kernel must be restarted logs inaccessible.,INFRA
Le directeur gueule au téléphone c'est inadmissible.,The director is yelling on the phone it is unacceptable.,BUSINESS
Le conteneur est corrompu(e) logs inaccessibles.,The container is corrupted logs inaccessible.,INFRA
Le grand compte fait un scandale et il part à la concurrence.,The key account is making a scene and he goes to competition.,BUSINESS
Une attaque volumétrique provocant un black-out mitigation en cours.,A volumetric attack causing a blackout mitigation in progress.,CYBER
Le grand compte est furieux suite à la panne.,The key account is furious following the outage.,BUSINESS
Le client refuse de payer sur le dossier en cours.,The client refuses to pay on the current file.,BUSINESS
Le botnet fait tomber le site depuis des IP chinoises.,The botnet takes down the site from Chinese IPs.,CYBER
Ok ça marche.,Ok works.,MISC
L'acheteur refuse de payer il faut l'appeler d'urgence.,The buyer refuses to pay must call him urgently.,BUSINESS
Le prospect refuse de payer car le service est nul.,The prospect refuses to pay because the service sucks.,BUSINESS
Le service systemd renvoie une erreur OOMKilled problème de ressources.,The systemd service returns an OOMKilled error resource issue.,INFRA
Le cluster K8s est corrompu(e) après la mise à jour.,The K8s cluster is corrupted after update.,INFRA
Le prospect demande un remboursement et il part à la concurrence.,The prospect asks for a refund and he goes to competition.,BUSINESS
Le cluster K8s est corrompu(e) logs inaccessibles.,The K8s cluster is corrupted logs inaccessible.,INFRA
Le grand compte est hors de lui suite à la panne.,The key account is beside himself following the outage.,BUSINESS
Le noyau Linux ne démarre pas sur le noeud master.,The Linux kernel does not start on the master node.,INFRA
Une attaque par amplification fait tomber le site depuis des IP chinoises.,Amplification attack takes down the site from Chinese IPs.,CYBER
L'image Docker renvoie une erreur OOMKilled sur le noeud master.,The Docker image returns an OOMKilled error on the master node.,INFRA
Le cluster K8s doit être redémarré(e) sur le noeud master.,The K8s cluster must be restarted on the master node.,INFRA
Une attaque volumétrique cible le load balancer sur l'IP publique.,A volumetric attack targets the load balancer on public IP.,CYBER
Un déni de service est détecté(e) par l'anti-DDoS sur l'IP publique.,A denial of service is detected by anti-DDoS on public IP.,CYBER
