french_sentence,topic
Je vais retirer de l'argent au distributeur.,BANKING
Le paiement a été validé avec succès.,BANKING
Il faut provisionner le compte pour le chèque.,BANKING
Les actionnaires attendent le rapport financier.,BANKING
J'ai reçu une lettre de relance pour la facture impayée.,BANKING
Le taux d'endettement ne doit pas dépasser 33%.,BANKING
Nous allons procéder à l'encaissement.,BANKING
La carte Gold offre de meilleures assurances.,BANKING
Je dois mettre à jour mes coordonnées bancaires.,BANKING
Le comptable prépare la déclaration de TVA.,BANKING
Il y a des frais agios sur le découvert.,BANKING
Le système de paiement est sécurisé.,BANKING
Je voudrais faire une simulation de crédit auto.,BANKING
Le bénéficiaire du virement est inconnu.,BANKING
Nous avons besoin d'un apport personnel pour le crédit.,BANKING
Les capitaux propres de l'entreprise sont stables.,BANKING
Le paiement par mobile est de plus en plus courant.,BANKING
Je dois envoyer la facture proforma au client.,BANKING
La banque a rejeté ma demande de prêt.,BANKING
Il faut calculer la marge bénéficiaire brute.,BANKING
Le compte joint nécessite deux signatures.,BANKING
J'ai activé l'option de paiement à l'étranger.,BANKING
Le service client est joignable par téléphone.,BANKING
Nous devons réduire les frais généraux.,BANKING
La date de valeur est différente de la date d'opération.,BANKING
Je cherche une banque avec peu de commissions.,BANKING
Le dossier de financement est complet.,BANKING
Il faut archiver les factures pendant dix ans.,BANKING
Le solde débiteur doit être régularisé rapidement.,BANKING
J'ai oublié de signer le chèque.,BANKING
Le taux de rémunération du livret A a changé.,BANKING
Nous utilisons un terminal de paiement électronique.,BANKING
Le virement est programmé pour demain.,BANKING
Il y a une différence dans l'inventaire comptable.,BANKING
Je voudrais renégocier mon prêt immobilier.,BANKING
La banque m'a envoyé un nouveau code secret.,BANKING
Les dividendes seront versés le mois prochain.,BANKING
Je voudrai ouvrir un compte courrant svp.,BANKING
C'est quoi le plafond de retrais sur ma carte ?,BANKING
J'arrive pas a telecharger mon RIB.,BANKING
Le paiment sans contact marche pas.,BANKING
Pouvez vous me dire mon sold actuel ?,BANKING
Y a des frais de tenu de compte abusés.,BANKING
Je dois faire oposition sur ma carte bleue.,BANKING
Le virement instantané est super partique.,BANKING
Faut verifier les relevés bancaire.,BANKING
Le taux d'interet est trop eleve.,BANKING
Avez vous recu ma demande de remborsement ?,BANKING
Je dois deposer un cheque a la banque.,BANKING
Mon compte est bloqué je sais pas pourqoi.,BANKING
Ca prend combien de temps un virement inter?,BANKING
J'ai pas assez de liquide sur moi la.,BANKING
Faut payer la facture avant la date limite.,BANKING
Mon conseillé est pas la aujourd'hui.,BANKING
"J'ai oublie mon code pin, c'est grave ?",BANKING
Le prelevement a eté rejeté par la banque.,BANKING
On prend la carte et le cash aussi.,BANKING
Je veux augmenter mon decouvert autorise.,BANKING
La devise c'est bien l'euro non ?,BANKING
Garde le ticket pour la compta.,BANKING
Le remboursement se fera dans 3 jours.,BANKING
J'ai eu une alerte pour un truc suspect.,BANKING
Tu peux m'imprimer une preuve de paiment ?,BANKING
La machine a carte est en panne dsl.,BANKING
Je veux fermer mon livret d'epargne.,BANKING
Les frais sont a la charge du client.,BANKING
Faut equilibrer le budget de l'année.,BANKING
La TVA est ecrite en bas de la facture.,BANKING
J'ai perdu ma carte je dois en refaire une.,BANKING
J'ai deux milles euros sur le compte.,BANKING
Y'a une erreur dans le calcul des interets.,BANKING
Le banquier m'a vendu une assurance vie.,BANKING
Je dois valider sur l'appli mobile.,BANKING
La tresorerie va bien ce trimestre.,BANKING
Ils prennent pas les cheques ici.,BANKING
J'ai besoin d'un pret pour ma maison.,BANKING
C'est quoi ton code IBAN deja ?,BANKING
La transaction est en attente la.,BANKING
Faut payer les fournisseurs vite.,BANKING
Le distributeur donne que des billets de 20.,BANKING
Met le cryptogramme derriere la carte.,BANKING
Mon salaire arrive le 1er du mois.,BANKING
L'audit commence la semaine pro.,BANKING
"Je change de banque, trop de frais ici.",BANKING
Le bilan de la boite est solide.,BANKING
Tu peux payer en plusieurs fois sans frais.,BANKING
J'ai atteint mon plafond ce mois ci.,BANKING
Signe le bordereau de remise stp.,BANKING
Le taux de change bouge beaucoup.,BANKING
Faut declarer ca aux impots.,BANKING
L'echeancier est mis en place.,BANKING
J'arrive pas a me co a ma banque.,BANKING
Je suis a decouvert depuis hier.,BANKING
Faut justifier la depense dans la note.,BANKING
Le virement SEPA c'est standard.,BANKING
Ils demandent une piece d'identité valide.,BANKING
J'ai ouvert un PEL pour plus tard.,BANKING
Le logiciel compta est a jour ?,BANKING
Y'a un ecart dans la caisse.,BANKING
Les actifs ont augmentés cette année.,BANKING
Je vais au distrib retirer des sous.,BANKING
C'est bon le paiement est passé.,BANKING
Faut mettre des sous pour le cheque.,BANKING
Les actionnaires veulent le rapport.,BANKING
J'ai recu une relance pour la facture.,BANKING
On peut pas s'endetter a plus de 33%.,BANKING
On va encaisser ca demain.,BANKING
La carte Gold a des meilleures assurances.,BANKING
Je dois changer mon adresse a la banque.,BANKING
Le comptable fait la declaration TVA.,BANKING
J'ai eu des agios a cause du decouvert.,BANKING
Le systeme est securisé tkt.,BANKING
Je voudrais simuler un credit auto.,BANKING
Je connais pas ce beneficiaire.,BANKING
Faut un apport perso pour le pret.,BANKING
Les capitaux propres bougent pas.,BANKING
Payer avec son tel c'est pratique.,BANKING
Envoie la facture proforma au client.,BANKING
Ils ont refusé mon pret immo.,BANKING
Faut calculer la marge brute.,BANKING
Faut deux signatures pour le compte joint.,BANKING
J'ai activé les paiements a l'etranger.,BANKING
Appelle le service client direct.,BANKING
Faut reduire les frais generaux.,BANKING
La date de valeur est pas la meme.,BANKING
Je cherche une banque moins chere.,BANKING
Le dossier est complet c'est bon.,BANKING
Faut garder les factures 10 ans.,BANKING
Faut regler le solde debiteur vite.,BANKING
Mince j'ai pas signé le cheque.,BANKING
Le livret A rapporte plus maintenant.,BANKING
On utilise un TPE pour les cartes.,BANKING
Le virement part demain matin.,BANKING
Y'a une diff dans l'inventaire.,BANKING
Je veux renegocier mon taux.,BANKING
La banque m'a envoyé un code.,BANKING
Les dividendes tombent le mois prochain.,BANKING
J'ai plus de thune sur mon compte c la galere.,BANKING
"Ma CB passe pas, j'ai le seum.",BANKING
Tu peux me faire un virement instantané stp ?,BANKING
C'est quoi ces frais de ouf la ?,BANKING
"J'arrive pas a me co a l'appli, ca bug.",BANKING
Mon banquier me harcèle pour le découvert.,BANKING
T'as du liquide sur toi ? J'suis a sec.,BANKING
"J'ai paumé mon code de carte, la honte.",BANKING
Faut que je check mes comptes ce soir.,BANKING
Le pret immo c'est mort pour l'instant.,BANKING
Vas-y paye en sans contact ca va plus vite.,BANKING
Il me manque 50 balles pour finir le mois.,BANKING
C'est une arnaque cette banque serieux.,BANKING
J'ai recu ma paye ou pas encore ?,BANKING
Le distributeur a avalé ma carte !!,BANKING
On partage la note ? Je te fais un Lydia.,BANKING
J'ai trop d'agios ca pique.,BANKING
"Faut que j'appelle le service client, relou.",BANKING
T'as vu le taux d'interet ? C'est abusé.,BANKING
"Je change de banque, ils sont trop nuls.",BANKING
C'est bon le virement est parti.,BANKING
J'ai oublié de valider le truc sur mon tel.,BANKING
Y'a un bug sur mon relevé je crois.,BANKING
Je mets de l'oseille de coté pour les vacances.,BANKING
Paiement refusé... la loose.,BANKING
T'as le RIB de la boite ?,BANKING
Le comptable me demande les tickets de caisse.,BANKING
Ca coute une blinde les frais a l'etranger.,BANKING
J'ai bloqué ma carte par securité.,BANKING
Faut que je dépose ce chèque avant midi.,BANKING
Mon plafond est explosé jpeux plus rien acheter.,BANKING
C'est quand la date de prélèvement deja ?,BANKING
"J'ai zappé de payer le loyer, merde.",BANKING
"Le terminal marche pas, faut du cash.",BANKING
Rends moi les 20 balles que tu me dois.,BANKING
J'ai un plan epargne mais y'a rien dessus lol.,BANKING
C'est la dèche ce mois-ci.,BANKING
La banque m'a envoyé une nouvelle CB.,BANKING
Faut signer ou pour ce truc ?,BANKING
Les impots vont me tomber dessus.,BANKING
J'ai fait opposition direct.,BANKING
C'est quoi ce prelevement chelou ?,BANKING
On peut payer en plusieurs fois ?,BANKING
Le dossier de pret est trop compliqué pff.,BANKING
T'as recu le sms de validation ?,BANKING
Faut que je recharge mon compte nickel.,BANKING
Les cryptos ca craint en ce moment.,BANKING
J'ai plus de batterie pour payer avec mon tel.,BANKING
Mon conseiller repond jamais au tel.,BANKING
C'est quoi ton Iban ? Envoie par msg.,BANKING
J'ai peur d'etre a découvert.,BANKING
Le fric est pas encore arrivé sur le compte.,BANKING
Faut garder la facture pour la garantie ou pas ?,BANKING
J'ai cramé toutes mes économies.,BANKING
C'est la galere pour faire un virement international.,BANKING
Ils demandent trop de papiers c'est mort.,BANKING
J'ai un compte joint avec ma meuf.,BANKING
Le taux change tout le temps c relou.,BANKING
T'as combien sur ton livret A ?,BANKING
J'ai fait un credit conso pour la bagnole.,BANKING
La compta est en bordel.,BANKING
Y'a un trou dans la caisse patron.,BANKING
J'attends le remboursement de la secu.,BANKING
Ca met combien de temps pour arriver ?,BANKING
J'ai pas la motiv pour faire les comptes.,BANKING
Le site de la banque est en maintenance pff.,BANKING
Faut que je demande une rallonge de credit.,BANKING
C'est qui qui paye la tournée ?,BANKING
J'ai mis en place un virement auto.,BANKING
Verifie si le chèque est passé stp.,BANKING
Les frais de tenue de compte c du vol.,BANKING
J'ai recu une notif de la banque.,BANKING
Faut que je change de code secret.,BANKING
"J'ai pas de liquide, tu prends la carte ?",BANKING
Le bilan est pas ouf cette année.,BANKING
J'ai eu un bonus ca fait plaisir.,BANKING
Faut payer avant la fin de la semaine sinon penalités.,BANKING
C'est quoi ce bordel avec ma carte ?,BANKING
J'ai depensé sans compter hier soir.,BANKING
Le banquier veut me voir demain matin.,BANKING
J'ai un doute sur cette transaction.,BANKING
Faut que je mette a jour mes infos.,BANKING
L'appli me demande ma date de naissance.,BANKING
C'est safe de payer ici tu crois ?,BANKING
J'ai pas recu le mail de confirmation.,BANKING
Le virement a rebondi j'ai pas compris.,BANKING
Faut serrer la ceinture ce mois ci.,BANKING
Les actions ont chuté de ouf.,BANKING
J'ai pris l'assurance perte de carte.,BANKING
Rembourse moi quand tu peux tkt.,BANKING
"C'est la hass, j'ai plus un rond.",BANKING
"Le paiement a echoué, recommence stp.",BANKING
J'ai oublié mon portefeuille chez moi quel con.,BANKING
Faut que je declare ca ou pas ?,BANKING
Le patron a pas signé les chèques.,BANKING
On est dans le rouge la.,BANKING
J'ai grillé tout mon budget shopping.,BANKING
C'est quoi la limite de paiement ?,BANKING
J'ai eu un mail de phishing fais gaffe.,BANKING
Les banques c'est tous des voleurs de toute facon.,BANKING
Merci de m'envoyer la facture acquittée.,ACCOUNTING
Nous devons procéder au lettrage des comptes clients.,ACCOUNTING
Le montant de la TVA déductible est incorrect.,ACCOUNTING
Pouvez-vous émettre un avoir pour cette commande ?,ACCOUNTING
La facture est en attente de validation par le manager.,ACCOUNTING
Il manque le bon de commande pour justifier cette facture.,ACCOUNTING
Les dotations aux amortissements ont été calculées.,ACCOUNTING
Nous devons déclarer la TVA avant le 21 du mois.,ACCOUNTING
Le bilan comptable doit être finalisé la semaine prochaine.,ACCOUNTING
Il y a un écart de conversion sur ce compte en devises.,ACCOUNTING
Veuillez saisir cette écriture au journal des achats.,ACCOUNTING
Le seuil de rentabilité n'est pas encore atteint.,ACCOUNTING
Cette dépense doit être immobilisée et non passée en charges.,ACCOUNTING
Nous avons reçu une relance pour la facture 2023-045.,ACCOUNTING
Le compte de résultat affiche une perte nette.,ACCOUNTING
Il faut faire le rapprochement bancaire de fin de mois.,ACCOUNTING
Les factures fournisseurs sont archivées numériquement.,ACCOUNTING
Quel est le délai de paiement accordé à ce client ?,ACCOUNTING
Nous devons calculer la provision pour congés payés.,ACCOUNTING
L'exercice comptable se clôture le 31 décembre.,ACCOUNTING
La marge brute a diminué ce trimestre.,ACCOUNTING
Il faut régulariser ce compte d'attente rapidement.,ACCOUNTING
Le commissaire aux comptes va auditer nos stocks.,ACCOUNTING
J'ai besoin d'un extrait du Grand Livre pour ce compte.,ACCOUNTING
La facturation récurrente est automatisée.,ACCOUNTING
Nous avons un excédent de trésorerie à placer.,ACCOUNTING
Cette opération est soumise à la TVA intracommunautaire.,ACCOUNTING
Le tableau de flux de trésorerie est à jour.,ACCOUNTING
Il faut imputer cette charge sur le centre de coût marketing.,ACCOUNTING
La créance est considérée comme irrécouvrable.,ACCOUNTING
Nous devons payer l'impôt sur les sociétés.,ACCOUNTING
Le logiciel de facturation a généré une erreur.,ACCOUNTING
Vérifiez les mentions obligatoires sur la facture.,ACCOUNTING
Les frais de déplacement sont refacturés au client.,ACCOUNTING
Il faut ventiler le montant sur plusieurs codes analytiques.,ACCOUNTING
Le solde du compte 411 est débiteur.,ACCOUNTING
Nous attendons le remboursement du crédit de TVA.,ACCOUNTING
Les capitaux propres ont été renforcés par une augmentation de capital.,ACCOUNTING
Il faut scanner les notes de frais dans l'outil.,ACCOUNTING
La date d'échéance est dépassée de trente jours.,ACCOUNTING
Nous utilisons la méthode comptable FIFO pour les stocks.,ACCOUNTING
Le passif circulant est trop élevé.,ACCOUNTING
Il faut passer une écriture de régularisation.,ACCOUNTING
Le chiffre d'affaires hors taxe est en hausse.,ACCOUNTING
Cette facture est à payer à réception.,ACCOUNTING
Nous devons provisionner les risques de litiges.,ACCOUNTING
Le prévisionnel de trésorerie est inquiétant.,ACCOUNTING
J'ai besoin du numéro de SIRET du fournisseur.,ACCOUNTING
Les remises commerciales sont déduites du net à payer.,ACCOUNTING
Il faut sortir cet actif du bilan.,ACCOUNTING
L'inventaire physique ne correspond pas au stock théorique.,ACCOUNTING
Les charges constatées d'avance doivent être traitées.,ACCOUNTING
Le taux de marge opérationnelle est satisfaisant.,ACCOUNTING
Nous passons aux normes IFRS l'année prochaine.,ACCOUNTING
La facture a été bloquée pour litige prix.,ACCOUNTING
Il faut envoyer les relevés de compte aux clients.,ACCOUNTING
Le report à nouveau est bénéficiaire.,ACCOUNTING
Nous devons justifier chaque ligne du journal de banque.,ACCOUNTING
La liasse fiscale doit être télétransmise.,ACCOUNTING
Les cotisations sociales sont à payer à l'URSSAF.,ACCOUNTING
Le besoin en fonds de roulement a augmenté.,ACCOUNTING
Cette facture concerne l'exercice précédent.,ACCOUNTING
Il faut créer une fiche fournisseur dans l'ERP.,ACCOUNTING
Le paiement se fera par virement SEPA B2B.,ACCOUNTING
Nous avons négocié un escompte pour paiement anticipé.,ACCOUNTING
Les frais bancaires doivent être comptabilisés en 627.,ACCOUNTING
Il y a un doublon dans les factures reçues.,ACCOUNTING
Le résultat net sera distribué en dividendes.,ACCOUNTING
La valeur nette comptable des machines est nulle.,ACCOUNTING
Il faut reclasser cette dette à court terme.,ACCOUNTING
Le directeur financier demande le reporting mensuel.,ACCOUNTING
Les encours clients sont trop importants.,ACCOUNTING
Nous devons appliquer le taux de TVA réduit.,ACCOUNTING
L'échéancier fournisseurs doit être respecté.,ACCOUNTING
Cette opération impacte le compte de résultat exceptionnel.,ACCOUNTING
Il faut annuler la facture et en refaire une nouvelle.,ACCOUNTING
Le budget prévisionnel a été validé.,ACCOUNTING
Nous devons calculer les écarts sur budget.,ACCOUNTING
La consolidation des comptes est en cours.,ACCOUNTING
Les factures non parvenues doivent être estimées.,ACCOUNTING
Le délai de rotation des stocks s'améliore.,ACCOUNTING
Il manque le justificatif pour ce remboursement de frais.,ACCOUNTING
La dépréciation des titres est nécessaire.,ACCOUNTING
Nous devons payer les acomptes d'IS.,ACCOUNTING
Le grand livre auxiliaire clients est déséquilibré.,ACCOUNTING
Il faut vérifier la solvabilité du nouveau client.,ACCOUNTING
Les conditions générales de vente ont changé.,ACCOUNTING
La facture proforma ne permet pas le paiement.,ACCOUNTING
Nous avons reçu une injonction de payer.,ACCOUNTING
Le ratio d'endettement est surveillé par la banque.,ACCOUNTING
Il faut imprimer le journal des ventes.,ACCOUNTING
Les produits à recevoir doivent être enregistrés.,ACCOUNTING
La balance âgée montre trop de retards.,ACCOUNTING
Le coût de revient est supérieur au prix de vente.,ACCOUNTING
Il faut mettre à jour le plan comptable général.,ACCOUNTING
Le virement de salaire a été comptabilisé.,ACCOUNTING
Cette charge est non déductible fiscalement.,ACCOUNTING
Nous devons préparer les annexes du bilan.,ACCOUNTING
L'expert-comptable passera demain.,ACCOUNTING
La clôture semestrielle est prévue pour lundi.,ACCOUNTING
Je trouve pas la facture d'achat de mars.,ACCOUNTING
Le bilan comptable est pas enocore fini.,ACCOUNTING
Il manque le justif pour cette note de frais.,ACCOUNTING
La TVA a été mal calculé sur ce devis.,ACCOUNTING
Faut faire le lettrage des comptes clients aujd.,ACCOUNTING
L'expert comptable a besoin du grand livre.,ACCOUNTING
On a un ecart de caisse de 10 euros.,ACCOUNTING
Les amortissements sont pas a jour.,ACCOUNTING
C'est quoi le code analytique pour ca ?,ACCOUNTING
Le virement salaire est parti en double.,ACCOUNTING
Faut declarer la tva avant demain soir.,ACCOUNTING
Les capitaux propre sont negatifs.,ACCOUNTING
Je comprend pas cette ecriture comptable.,ACCOUNTING
La liasse fiscale est prete a l'envoi.,ACCOUNTING
On a recu une relance de l'urssaf.,ACCOUNTING
Le compte 411 est crediteur c'est bizarre.,ACCOUNTING
Il faut scanner les factures fourmisseurs.,ACCOUNTING
La marge brute a chuté ce trimestre.,ACCOUNTING
T'as verifié le solde de la banque ?,ACCOUNTING
Le logiciel de compta rame trop.,ACCOUNTING
Faut passer les ecritures de fin d'année.,ACCOUNTING
L'audit commence lundi prochain sans faute.,ACCOUNTING
On a trop de creances clients impayées.,ACCOUNTING
Le seuil de rentabilité est ateint.,ACCOUNTING
J'ai perdu le mot de passe des impots.,ACCOUNTING
Les provisions pour risques sont trop basses.,ACCOUNTING
Faut ventiler la depense par service.,ACCOUNTING
La cloture de l'exercice est difficile.,ACCOUNTING
Il manque la signature du dirlo sur le cheque.,ACCOUNTING
Les actifs circulants ont augmenté.,ACCOUNTING
On passe aux normes IFRS bientot.,ACCOUNTING
Le compte de resultat est beneficiaire.,ACCOUNTING
Faut archiver les pieces comptables.,ACCOUNTING
Y'a une erreur de saisie dans le journal.,ACCOUNTING
Les stocks theoriques collent pas avec le reel.,ACCOUNTING
Le delai de paiement est de 30 jours fin de mois.,ACCOUNTING
Faut demander un acompte au client.,ACCOUNTING
La facture proforma est pas valable.,ACCOUNTING
On a un credit de TVA a se faire remboursé.,ACCOUNTING
Le commissaire aux compte arrive demain.,ACCOUNTING
C'est une charge non deductible fiscalement.,ACCOUNTING
Le report a nouveau est deficitaire.,ACCOUNTING
Faut imputer ca sur le budget marketing.,ACCOUNTING
Les frais bancaires sont abusés ce mois ci.,ACCOUNTING
Le rapprochement bancaire est pas juste.,ACCOUNTING
On doit payer l'IS le 15.,ACCOUNTING
La tresorerie est tendue en ce moment.,ACCOUNTING
Faut creer le fournisseur dans l'ERP.,ACCOUNTING
L'inventaire physique est obligatoire.,ACCOUNTING
Les dividendes seront versés quand ?,ACCOUNTING
J'ai un ecart de conversion sur la devise.,ACCOUNTING
La facture est bloquée pour litige.,ACCOUNTING
Faut reclasser cette dette en long terme.,ACCOUNTING
Le total bilan a baissé.,ACCOUNTING
Les cotisations sociales ont augmentées.,ACCOUNTING
On a fait une augmentation de capital.,ACCOUNTING
Le BFR a explosé cette année.,ACCOUNTING
Faut sortir l'immo du bilan.,ACCOUNTING
La balance agée clients est mauvaise.,ACCOUNTING
Le cout de revient est mal calculé.,ACCOUNTING
Faut envoyer les relances par mail.,ACCOUNTING
Les factures non parvenues sont estimées.,ACCOUNTING
Le grand livre auxiliaire est faux.,ACCOUNTING
On a recu un avoir du fournisseur.,ACCOUNTING
Le taux d'endettement est trop haut.,ACCOUNTING
Faut justifier les mouvements de trésorerie.,ACCOUNTING
La consolidation des comptes est finie.,ACCOUNTING
Les stocks dorment depuis trop longtemps.,ACCOUNTING
Le resultat net est en hausse.,ACCOUNTING
Faut imprimer le journal des ventes svp.,ACCOUNTING
Les produits a recevoir sont comptabilisés.,ACCOUNTING
Y'a un doublon de facture attention.,ACCOUNTING
Le plan comptable a changé ?,ACCOUNTING
Faut verifier la solvabilité du client.,ACCOUNTING
Les annexes du bilan sont pas faites.,ACCOUNTING
On a eu une injonction de payer ce matin.,ACCOUNTING
La valeur nette comptable est zero.,ACCOUNTING
Les frais generaux plombent le resultat.,ACCOUNTING
Faut calculer la provision pour congés.,ACCOUNTING
Le budget previsionnel est validé.,ACCOUNTING
On a negocié un escompte de 2%.,ACCOUNTING
La liasse est partie aux impots.,ACCOUNTING
Faut regulariser le compte d'attente.,ACCOUNTING
Les ecritures de paie sont fausses.,ACCOUNTING
Le logiciel de facturation bug encore.,ACCOUNTING
C'est quoi ce numero de SIRET ?,ACCOUNTING
On doit payer la CFE en decembre.,ACCOUNTING
Les mentions obligatoires manquent sur la facture.,ACCOUNTING
Le virement SEPA est rejeté.,ACCOUNTING
Faut amortir le materiel sur 5 ans.,ACCOUNTING
Le passif depasse l'actif c'est grave.,ACCOUNTING
Les notes de frais sont trop elevées.,ACCOUNTING
On attend le virement du client X.,ACCOUNTING
La declaration d'echanges de biens est faite.,ACCOUNTING
Le taux de marge est correct.,ACCOUNTING
Faut provisionner le risque de proces.,ACCOUNTING
Le resultat d'exploitation est positif.,ACCOUNTING
Les dettes fiscales sont apurées.,ACCOUNTING
J'arrive pas a lire ce bilan.,ACCOUNTING
La compta analytique est un bordel.,ACCOUNTING
C'est le bordel dans les factures ce mois-ci.,ACCOUNTING
Le comptable va me tuer si j'ai pas les justificatifs.,ACCOUNTING
T'as encore paumé tes notes de frais ?,ACCOUNTING
"Faut courir après les clients pour se faire payer, c'est lourd.",ACCOUNTING
"La TVA, c'est vraiment une prise de tête.",ACCOUNTING
On est charrette pour le bilan.,ACCOUNTING
Y'a un trou dans la caisse ou quoi ?,ACCOUNTING
Le logiciel de compta a encore planté.,ACCOUNTING
Il abuse sur les délais de paiement lui.,ACCOUNTING
C'est la galère pour récupérer la TVA sur ce truc.,ACCOUNTING
Balance-moi le RIB du fournisseur par mail.,ACCOUNTING
Les impôts nous ont pas raté cette année.,ACCOUNTING
Faut que je bidouille un tableau Excel pour m'y retrouver.,ACCOUNTING
On a zéro visibilité sur la tréso.,ACCOUNTING
C'est qui qui gère la facturation maintenant ?,ACCOUNTING
"Il manque 2 centimes pour que ça tombe juste, ça me rend ouf.",ACCOUNTING
L'URSSAF va nous tomber dessus si on déclare pas ça.,ACCOUNTING
T'as vu la note de resto ? Il s'est fait plaisir le commercial.,ACCOUNTING
J'ai pas la motiv pour faire le lettrage aujourd'hui.,ACCOUNTING
Faut qu'on gonfle un peu le chiffre d'affaires avant la fin du mois.,ACCOUNTING
"Les factures s'empilent sur mon bureau, c'est l'angoisse.",ACCOUNTING
"Arrête de payer les fournisseurs en retard, ça la fout mal.",ACCOUNTING
"Le bilan est moche, le patron va gueuler.",ACCOUNTING
J'y comprends rien à ces histoires d'amortissement.,ACCOUNTING
On passe tout en frais généraux et on verra bien.,ACCOUNTING
C'est la croix et la bannière pour avoir un acompte.,ACCOUNTING
"Le client a rejeté la facture, il dit qu'il y a une erreur.",ACCOUNTING
Faut sortir les vieux dossiers du placard pour l'audit.,ACCOUNTING
Ça coûte une blinde en frais bancaires.,ACCOUNTING
J'ai passé ma journée à scanner des tickets de caisse.,ACCOUNTING
"Ton tableau de bord, c'est une usine à gaz.",ACCOUNTING
"On est dans le rouge, faut arrêter les dépenses.",ACCOUNTING
C'est mort pour les dividendes cette année.,ACCOUNTING
Le commissaire aux comptes est super pointilleux.,ACCOUNTING
"J'ai fait une boulette dans la saisie, faut corriger.",ACCOUNTING
On va se faire redresser par le fisc si on continue.,ACCOUNTING
C'est quoi ce fournisseur inconnu au bataillon ?,ACCOUNTING
"Faut que je relance le comptable, il répond jamais.",ACCOUNTING
"Les notes de frais kilométriques, c'est de l'arnaque.",ACCOUNTING
T'as pensé à déclarer la TVA intracom ?,ACCOUNTING
"Ça fait trois fois que je lui envoie la facture, il se fout de moi.",ACCOUNTING
"Le prévisionnel, c'est du grand n'importe quoi.",ACCOUNTING
"On a trop de stock qui dort, ça bouffe du cash.",ACCOUNTING
Faut serrer la vis sur les dépenses.,ACCOUNTING
Le banquier commence à s'exciter sur le découvert.,ACCOUNTING
C'est pas carré du tout tes comptes.,ACCOUNTING
J'ai l'impression qu'on bosse pour payer les charges.,ACCOUNTING
"Faut nettoyer le grand livre, y'a plein de vieux trucs.",ACCOUNTING
C'est la dèche niveau trésorerie.,ACCOUNTING
