Phrase,English_Equivalent,Topic
Le serveur DNS subit une attaque par amplification.,The DNS server is under amplification attack.,CYBER
Le segment VLAN est configuré en mode haut débit.,The VLAN segment is configured in high throughput mode.,INFRA
Le segment VLAN montre des connexions Tor sortantes.,The VLAN segment shows outbound Tor connections.,CYBER
Le tunnel VPN ne répond pas au ping.,The VPN tunnel does not respond to ping.,INFRA
Le tunnel VPN montre des connexions Tor sortantes.,The VPN tunnel shows outbound Tor connections.,CYBER
Le port 443 HTTPS ne répond pas au ping.,The HTTPS port 443 does not respond to ping.,INFRA
Le port 443 HTTPS exfiltre des données vers une IP inconnue.,The HTTPS port 443 exfiltrates data to an unknown IP.,CYBER
L'interface réseau eth0 est configuré en mode haut débit.,The network interface eth0 is configured in high throughput mode.,INFRA
L'interface réseau eth0 montre des connexions Tor sortantes.,The network interface eth0 shows outbound Tor connections.,CYBER
Le serveur DNS ne répond pas au ping.,The DNS server does not respond to ping.,INFRA
Le serveur DNS exfiltre des données vers une IP inconnue.,The DNS server exfiltrates data to an unknown IP.,CYBER
Le proxy sortant bloque les connexions non-whitelisted.,The outbound proxy blocks non-whitelisted connections.,INFRA
Le proxy sortant reçoit des commandes d'un serveur C2.,The outbound proxy receives commands from a C2 server.,CYBER
Le serveur DNS a une latence élevée.,The DNS server has high latency.,INFRA
Le serveur DNS est utilisé pour un tunnel DNS caché.,The DNS server is used for a hidden DNS tunnel.,CYBER
Le tunnel VPN est configuré en mode haut débit.,The VPN tunnel is configured in high throughput mode.,INFRA
Le tunnel VPN exfiltre des données vers une IP inconnue.,The VPN tunnel exfiltrates data to an unknown IP.,CYBER
La connexion RDP est configuré en mode haut débit.,The RDP connection is configured in high throughput mode.,INFRA
La connexion RDP montre des connexions Tor sortantes.,The RDP connection shows outbound Tor connections.,CYBER
L'interface réseau eth0 est saturé par une sauvegarde.,The network interface eth0 is saturated by a backup.,INFRA
L'interface réseau eth0 est scanné par Nmap.,The network interface eth0 is being scanned by Nmap.,CYBER
Le trafic ICMP a une latence élevée.,ICMP traffic has high latency.,INFRA
Le trafic ICMP montre des connexions Tor sortantes.,ICMP traffic shows outbound Tor connections.,CYBER
Le serveur DNS est saturé par une sauvegarde.,The DNS server is saturated by a backup.,INFRA
Le serveur DNS exfiltre des données vers une IP inconnue.,The DNS server exfiltrates data to an unknown IP.,CYBER
Le trafic ICMP est saturé par une sauvegarde.,ICMP traffic is saturated by a backup.,INFRA
Le trafic ICMP subit une attaque par amplification.,ICMP traffic is under amplification attack.,CYBER
Le tunnel VPN est saturé par une sauvegarde.,The VPN tunnel is saturated by a backup.,INFRA
Le tunnel VPN exfiltre des données vers une IP inconnue.,The VPN tunnel exfiltrates data to an unknown IP.,CYBER
Le port 443 HTTPS bloque les connexions non-whitelisted.,The HTTPS port 443 blocks non-whitelisted connections.,INFRA
Le port 443 HTTPS est utilisé pour un tunnel DNS caché.,The HTTPS port 443 is used for a hidden DNS tunnel.,CYBER
La connexion RDP a une latence élevée.,The RDP connection has high latency.,INFRA
La connexion RDP subit une attaque par amplification.,The RDP connection is under amplification attack.,CYBER
La connexion RDP a été redémarré pour maintenance.,The RDP connection was restarted for maintenance.,INFRA
La connexion RDP exfiltre des données vers une IP inconnue.,The RDP connection exfiltrates data to an unknown IP.,CYBER
Le proxy sortant ne répond pas au ping.,The outbound proxy does not respond to ping.,INFRA
Le proxy sortant exfiltre des données vers une IP inconnue.,The outbound proxy exfiltrates data to an unknown IP.,CYBER
Le proxy sortant est saturé par une sauvegarde.,The outbound proxy is saturated by a backup.,INFRA
Le proxy sortant est scanné par Nmap.,The outbound proxy is being scanned by Nmap.,CYBER
Le port 443 HTTPS a été redémarré pour maintenance.,The HTTPS port 443 was restarted for maintenance.,INFRA
Le port 443 HTTPS est scanné par Nmap.,The HTTPS port 443 is being scanned by Nmap.,CYBER
L'interface réseau eth0 a une latence élevée.,The network interface eth0 has high latency.,INFRA
L'interface réseau eth0 reçoit des commandes d'un serveur C2.,The network interface eth0 receives commands from a C2 server.,CYBER
L'interface réseau eth0 a été redémarré pour maintenance.,The network interface eth0 was restarted for maintenance.,INFRA
L'interface réseau eth0 est utilisé pour un tunnel DNS caché.,The network interface eth0 is used for a hidden DNS tunnel.,CYBER
Le port 443 HTTPS est saturé par une sauvegarde.,The HTTPS port 443 is saturated by a backup.,INFRA
Le port 443 HTTPS est scanné par Nmap.,The HTTPS port 443 is being scanned by Nmap.,CYBER
Le script PowerShell s'exécute tous les soirs à minuit.,The PowerShell script runs every night at midnight.,INFRA
Le script PowerShell est un faux positif masquant un malware.,The PowerShell script is a false positive masking malware.,CYBER
Le fichier hosts a besoin d'une mise à jour.,The hosts file needs an update.,INFRA
Le fichier hosts exécute un code non signé.,The hosts file executes unsigned code.,CYBER
Le registre Windows a besoin d'une mise à jour.,The Windows registry needs an update.,INFRA
Le registre Windows télécharge un payload obfusqué.,The Windows registry downloads an obfuscated payload.,CYBER
La clé USB consomme beaucoup de mémoire.,The USB key consumes a lot of memory.,INFRA
La clé USB télécharge un payload obfusqué.,The USB key downloads an obfuscated payload.,CYBER
La clé USB est monté sur le lecteur E:.,The USB key is mounted on drive E:.,INFRA
La clé USB télécharge un payload obfusqué.,The USB key downloads an obfuscated payload.,CYBER
Le script PowerShell s'exécute tous les soirs à minuit.,The PowerShell script runs every night at midnight.,INFRA
Le script PowerShell télécharge un payload obfusqué.,The PowerShell script downloads an obfuscated payload.,CYBER
Le processus svchost.exe a besoin d'une mise à jour.,The svchost.exe process needs an update.,INFRA
Le processus svchost.exe exécute un code non signé.,The svchost.exe process executes unsigned code.,CYBER
Le processus svchost.exe consomme beaucoup de mémoire.,The svchost.exe process consumes a lot of memory.,INFRA
Le processus svchost.exe est un faux positif masquant un malware.,The svchost.exe process is a false positive masking malware.,CYBER
Le script PowerShell automatise le nettoyage des logs.,The PowerShell script automates log cleaning.,INFRA
Le script PowerShell contient une clé de persistance suspecte.,The PowerShell script contains a suspicious persistence key.,CYBER
L'utilisation CPU est monté sur le lecteur E:.,CPU usage is mounted on drive E:.,INFRA
L'utilisation CPU est un faux positif masquant un malware.,CPU usage is a false positive masking malware.,CYBER
La tâche planifiée cron est monté sur le lecteur E:.,The cron scheduled task is mounted on drive E:.,INFRA
La tâche planifiée cron a été désactivé par l'attaquant.,The cron scheduled task was disabled by the attacker.,CYBER
Le service antivirus est à 100% à cause de l'encodage.,The antivirus service is at 100% due to encoding.,INFRA
Le service antivirus contient une clé de persistance suspecte.,The antivirus service contains a suspicious persistence key.,CYBER
Le service antivirus a été modifié par l'administrateur.,The antivirus service was modified by the administrator.,INFRA
Le service antivirus est un faux positif masquant un malware.,The antivirus service is a false positive masking malware.,CYBER
L'utilisation CPU a été modifié par l'administrateur.,CPU usage was modified by the administrator.,INFRA
L'utilisation CPU a été désactivé par l'attaquant.,CPU usage was disabled by the attacker.,CYBER
La tâche planifiée cron est à 100% à cause de l'encodage.,The cron scheduled task is at 100% due to encoding.,INFRA
La tâche planifiée cron lance un cryptomineur.,The cron scheduled task launches a cryptominer.,CYBER
Le fichier hosts consomme beaucoup de mémoire.,The hosts file consumes a lot of memory.,INFRA
Le fichier hosts contient des redirections malveillantes.,The hosts file contains malicious redirections.,CYBER
La tâche planifiée cron a été modifié par l'administrateur.,The cron scheduled task was modified by the administrator.,INFRA
La tâche planifiée cron lance un cryptomineur.,The cron scheduled task launches a cryptominer.,CYBER
Le fichier hosts s'exécute tous les soirs à minuit.,The hosts file runs every night at midnight.,INFRA
Le fichier hosts contient des redirections malveillantes.,The hosts file contains malicious redirections.,CYBER
L'utilisation CPU est monté sur le lecteur E:.,CPU usage is mounted on drive E:.,INFRA
L'utilisation CPU lance un cryptomineur.,CPU usage launches a cryptominer.,CYBER
La tâche planifiée cron a besoin d'une mise à jour.,The cron scheduled task needs an update.,INFRA
La tâche planifiée cron a été désactivé par l'attaquant.,The cron scheduled task was disabled by the attacker.,CYBER
Le service antivirus s'exécute tous les soirs à minuit.,The antivirus service runs every night at midnight.,INFRA
Le service antivirus lance un cryptomineur.,The antivirus service launches a cryptominer.,CYBER
La clé USB s'exécute tous les soirs à minuit.,The USB key runs every night at midnight.,INFRA
La clé USB est un faux positif masquant un malware.,The USB key is a false positive masking malware.,CYBER
Le processus svchost.exe a besoin d'une mise à jour.,The svchost.exe process needs an update.,INFRA
Le processus svchost.exe contient des redirections malveillantes.,The svchost.exe process contains malicious redirections.,CYBER
Le processus svchost.exe a besoin d'une mise à jour.,The svchost.exe process needs an update.,INFRA
Le processus svchost.exe contient des redirections malveillantes.,The svchost.exe process contains malicious redirections.,CYBER
La clé USB est à 100% à cause de l'encodage.,The USB key is at 100% due to encoding.,INFRA
La clé USB contient une clé de persistance suspecte.,The USB key contains a suspicious persistence key.,CYBER
Le script PowerShell consomme beaucoup de mémoire.,The PowerShell script consumes a lot of memory.,INFRA
Le script PowerShell est un faux positif masquant un malware.,The PowerShell script is a false positive masking malware.,CYBER
L'utilisation CPU s'exécute tous les soirs à minuit.,CPU usage runs every night at midnight.,INFRA
L'utilisation CPU contient des redirections malveillantes.,CPU usage contains malicious redirections.,CYBER
Le processus svchost.exe automatise le nettoyage des logs.,The svchost.exe process automates log cleaning.,INFRA
Le processus svchost.exe est un faux positif masquant un malware.,The svchost.exe process is a false positive masking malware.,CYBER
La clé USB est à 100% à cause de l'encodage.,The USB key is at 100% due to encoding.,INFRA
La clé USB exécute un code non signé.,The USB key executes unsigned code.,CYBER
L'utilisation CPU est à 100% à cause de l'encodage.,CPU usage is at 100% due to encoding.,INFRA
L'utilisation CPU lance un cryptomineur.,CPU usage launches a cryptominer.,CYBER
Le registre Windows consomme beaucoup de mémoire.,The Windows registry consumes a lot of memory.,INFRA
Le registre Windows télécharge un payload obfusqué.,The Windows registry downloads an obfuscated payload.,CYBER
La tâche planifiée cron consomme beaucoup de mémoire.,The cron scheduled task consumes a lot of memory.,INFRA
La tâche planifiée cron est un faux positif masquant un malware.,The cron scheduled task is a false positive masking malware.,CYBER
Le processus svchost.exe automatise le nettoyage des logs.,The svchost.exe process automates log cleaning.,INFRA
Le processus svchost.exe a été désactivé par l'attaquant.,The svchost.exe process was disabled by the attacker.,CYBER
La tâche planifiée cron est à 100% à cause de l'encodage.,The cron scheduled task is at 100% due to encoding.,INFRA
La tâche planifiée cron télécharge un payload obfusqué.,The cron scheduled task downloads an obfuscated payload.,CYBER
Le fichier hosts a été modifié par l'administrateur.,The hosts file was modified by the administrator.,INFRA
Le fichier hosts exécute un code non signé.,The hosts file executes unsigned code.,CYBER
Le service antivirus a besoin d'une mise à jour.,The antivirus service needs an update.,INFRA
Le service antivirus télécharge un payload obfusqué.,The antivirus service downloads an obfuscated payload.,CYBER
Le processus svchost.exe automatise le nettoyage des logs.,The svchost.exe process automates log cleaning.,INFRA
Le processus svchost.exe contient des redirections malveillantes.,The svchost.exe process contains malicious redirections.,CYBER
Le registre Windows est monté sur le lecteur E:.,The Windows registry is mounted on drive E:.,INFRA
Le registre Windows télécharge un payload obfusqué.,The Windows registry downloads an obfuscated payload.,CYBER
La clé USB est à 100% à cause de l'encodage.,The USB key is at 100% due to encoding.,INFRA
La clé USB exécute un code non signé.,The USB key executes unsigned code.,CYBER
Le registre Windows s'exécute tous les soirs à minuit.,The Windows registry runs every night at midnight.,INFRA
Le registre Windows lance un cryptomineur.,The Windows registry launches a cryptominer.,CYBER
Le mot de passe admin est stockée dans le coffre-fort.,The admin password is stored in the vault.,INFRA
Le mot de passe admin a été ajouté sans autorisation.,The admin password was added without authorization.,CYBER
Le groupe administrateurs a été réinitialisé par le support.,The administrators group was reset by support.,INFRA
Le groupe administrateurs a été contourné par brute force.,The administrators group was bypassed by brute force.,CYBER
Le ticket Kerberos a expiré après 90 jours.,The Kerberos ticket expired after 90 days.,INFRA
Le ticket Kerberos a subi une élévation de privilèges.,The Kerberos ticket underwent privilege escalation.,CYBER
L'authentification MFA est stockée dans le coffre-fort.,MFA authentication is stored in the vault.,INFRA
L'authentification MFA a subi une élévation de privilèges.,MFA authentication underwent privilege escalation.,CYBER
L'authentification MFA est stockée dans le coffre-fort.,MFA authentication is stored in the vault.,INFRA
L'authentification MFA a été ajouté sans autorisation.,MFA authentication was added without authorization.,CYBER
L'Active Directory a été créé pour le stagiaire.,Active Directory was created for the intern.,INFRA
L'Active Directory montre une attaque Golden Ticket.,Active Directory shows a Golden Ticket attack.,CYBER
Le groupe administrateurs se synchronise avec Azure AD.,The administrators group synchronizes with Azure AD.,INFRA
Le groupe administrateurs montre une attaque Golden Ticket.,The administrators group shows a Golden Ticket attack.,CYBER
L'Active Directory a été réinitialisé par le support.,Active Directory was reset by support.,INFRA
L'Active Directory a fait une connexion depuis la Corée.,Active Directory logged in from Korea.,CYBER
Le ticket Kerberos est requis pour se connecter.,The Kerberos ticket is required to log in.,INFRA
Le ticket Kerberos a fait une connexion depuis la Corée.,The Kerberos ticket logged in from Korea.,CYBER
L'Active Directory a expiré après 90 jours.,Active Directory expired after 90 days.,INFRA
L'Active Directory a été volé par credential stuffing.,Active Directory was stolen via credential stuffing.,CYBER
Le mot de passe admin est requis pour se connecter.,The admin password is required to log in.,INFRA
Le mot de passe admin a été volé par credential stuffing.,The admin password was stolen via credential stuffing.,CYBER
L'Active Directory est stockée dans le coffre-fort.,Active Directory is stored in the vault.,INFRA
L'Active Directory a été ajouté sans autorisation.,Active Directory was added without authorization.,CYBER
La clé SSH a été créé pour le stagiaire.,The SSH key was created for the intern.,INFRA
La clé SSH a été volé par credential stuffing.,The SSH key was stolen via credential stuffing.,CYBER
Le jeton de session est requis pour se connecter.,The session token is required to log in.,INFRA
Le jeton de session a subi une élévation de privilèges.,The session token underwent privilege escalation.,CYBER
La clé SSH se synchronise avec Azure AD.,The SSH key synchronizes with Azure AD.,INFRA
La clé SSH a été ajouté sans autorisation.,The SSH key was added without authorization.,CYBER
La clé SSH a été créé pour le stagiaire.,The SSH key was created for the intern.,INFRA
La clé SSH a été contourné par brute force.,The SSH key was bypassed by brute force.,CYBER
Le ticket Kerberos se synchronise avec Azure AD.,The Kerberos ticket synchronizes with Azure AD.,INFRA
Le ticket Kerberos montre une attaque Golden Ticket.,The Kerberos ticket shows a Golden Ticket attack.,CYBER
Le groupe administrateurs se synchronise avec Azure AD.,The administrators group synchronizes with Azure AD.,INFRA
Le groupe administrateurs a fait une connexion depuis la Corée.,The administrators group logged in from Korea.,CYBER
L'authentification MFA a été réinitialisé par le support.,MFA authentication was reset by support.,INFRA
L'authentification MFA a été volé par credential stuffing.,MFA authentication was stolen via credential stuffing.,CYBER
L'authentification MFA a expiré après 90 jours.,MFA authentication expired after 90 days.,INFRA
L'authentification MFA a été contourné par brute force.,MFA authentication was bypassed by brute force.,CYBER
Le jeton de session est requis pour se connecter.,The session token is required to log in.,INFRA
Le jeton de session a été contourné par brute force.,The session token was bypassed by brute force.,CYBER
Le compte root se synchronise avec Azure AD.,The root account synchronizes with Azure AD.,INFRA
Le compte root montre une attaque Golden Ticket.,The root account shows a Golden Ticket attack.,CYBER
Le compte root est stockée dans le coffre-fort.,The root account is stored in the vault.,INFRA
Le compte root montre une attaque Golden Ticket.,The root account shows a Golden Ticket attack.,CYBER
Le compte root est requis pour se connecter.,The root account is required to log in.,INFRA
Le compte root a été ajouté sans autorisation.,The root account was added without authorization.,CYBER
L'authentification MFA a été créé pour le stagiaire.,MFA authentication was created for the intern.,INFRA
L'authentification MFA a été contourné par brute force.,MFA authentication was bypassed by brute force.,CYBER
Le jeton de session se synchronise avec Azure AD.,The session token synchronizes with Azure AD.,INFRA
Le jeton de session a subi une élévation de privilèges.,The session token underwent privilege escalation.,CYBER
L'authentification MFA est requis pour se connecter.,MFA authentication is required to log in.,INFRA
L'authentification MFA montre une attaque Golden Ticket.,MFA authentication shows a Golden Ticket attack.,CYBER
L'authentification MFA se synchronise avec Azure AD.,MFA authentication synchronizes with Azure AD.,INFRA
L'authentification MFA a fait une connexion depuis la Corée.,MFA authentication logged in from Korea.,CYBER
Le mot de passe admin a expiré après 90 jours.,The admin password expired after 90 days.,INFRA
Le mot de passe admin a été ajouté sans autorisation.,The admin password was added without authorization.,CYBER
Le mot de passe admin a été créé pour le stagiaire.,The admin password was created for the intern.,INFRA
Le mot de passe admin a subi une élévation de privilèges.,The admin password underwent privilege escalation.,CYBER
Le jeton de session a été réinitialisé par le support.,The session token was reset by support.,INFRA
Le jeton de session a subi une élévation de privilèges.,The session token underwent privilege escalation.,CYBER
Le groupe administrateurs a été créé pour le stagiaire.,The administrators group was created for the intern.,INFRA
Le groupe administrateurs a fait une connexion depuis la Corée.,The administrators group logged in from Korea.,CYBER
L'Active Directory est stockée dans le coffre-fort.,Active Directory is stored in the vault.,INFRA
L'Active Directory a été volé par credential stuffing.,Active Directory was stolen via credential stuffing.,CYBER
Le jeton de session a expiré après 90 jours.,The session token expired after 90 days.,INFRA
Le jeton de session a fait une connexion depuis la Corée.,The session token logged in from Korea.,CYBER
Le jeton de session est stockée dans le coffre-fort.,The session token is stored in the vault.,INFRA
Le jeton de session a été ajouté sans autorisation.,The session token was added without authorization.,CYBER
Le ticket Kerberos a été créé pour le stagiaire.,The Kerberos ticket was created for the intern.,INFRA
Le ticket Kerberos a fait une connexion depuis la Corée.,The Kerberos ticket logged in from Korea.,CYBER
La clé SSH a expiré après 90 jours.,The SSH key expired after 90 days.,INFRA
La clé SSH a fait une connexion depuis la Corée.,The SSH key logged in from Korea.,CYBER
Le groupe administrateurs est stockée dans le coffre-fort.,The administrators group is stored in the vault.,INFRA
Le groupe administrateurs a été contourné par brute force.,The administrators group was bypassed by brute force.,CYBER
Le jeton de session est requis pour se connecter.,The session token is required to log in.,INFRA
Le jeton de session a fait une connexion depuis la Corée.,The session token logged in from Korea.,CYBER
Le mot de passe admin a expiré après 90 jours.,The admin password expired after 90 days.,INFRA
Le mot de passe admin a subi une élévation de privilèges.,The admin password underwent privilege escalation.,CYBER
L'endpoint API renvoie un code 200 OK.,The API endpoint returns a 200 OK code.,INFRA
L'endpoint API révèle une faille Apache Struts.,The API endpoint reveals an Apache Struts vulnerability.,CYBER
La base de données SQL valide le format de l'email.,The SQL database validates email format.,INFRA
La base de données SQL a été volé par un script tiers.,The SQL database was stolen by a third-party script.,CYBER
La page de login a été renouvelé pour un an.,The login page was renewed for a year.,INFRA
La page de login subit un fuzzing intensif.,The login page is undergoing intensive fuzzing.,CYBER
La base de données SQL renvoie un code 200 OK.,The SQL database returns a 200 OK code.,INFRA
La base de données SQL subit une injection SQL.,The SQL database is undergoing SQL injection.,CYBER
L'en-tête HTTP est en cours de migration.,The HTTP header is migrating.,INFRA
L'en-tête HTTP subit une injection SQL.,The HTTP header is undergoing SQL injection.,CYBER
L'endpoint API valide le format de l'email.,The API endpoint validates email format.,INFRA
L'endpoint API révèle une faille Apache Struts.,The API endpoint reveals an Apache Struts vulnerability.,CYBER
La page de login est en maintenance.,The login page is under maintenance.,INFRA
La page de login subit une injection SQL.,The login page is undergoing SQL injection.,CYBER
Le champ de saisie a été renouvelé pour un an.,The input field was renewed for a year.,INFRA
Le champ de saisie révèle une faille Apache Struts.,The input field reveals an Apache Struts vulnerability.,CYBER
La base de données SQL contient la version du navigateur.,The SQL database contains browser version.,INFRA
La base de données SQL est usurpé par un site de phishing.,The SQL database is spoofed by a phishing site.,CYBER
Le champ de saisie valide le format de l'email.,The input field validates email format.,INFRA
Le champ de saisie est usurpé par un site de phishing.,The input field is spoofed by a phishing site.,CYBER
Le certificat SSL contient la version du navigateur.,The SSL certificate contains browser version.,INFRA
Le certificat SSL a été volé par un script tiers.,The SSL certificate was stolen by a third-party script.,CYBER
L'en-tête HTTP valide le format de l'email.,The HTTP header validates email format.,INFRA
L'en-tête HTTP subit un fuzzing intensif.,The HTTP header is undergoing intensive fuzzing.,CYBER
Le champ de saisie valide le format de l'email.,The input field validates email format.,INFRA
Le champ de saisie accepte des fichiers exécutables.,The input field accepts executable files.,CYBER
La page de login a été renouvelé pour un an.,The login page was renewed for a year.,INFRA
La page de login révèle une faille Apache Struts.,The login page reveals an Apache Struts vulnerability.,CYBER
La page de login est en cours de migration.,The login page is migrating.,INFRA
La page de login contient un script XSS.,The login page contains an XSS script.,CYBER
Le certificat SSL a été renouvelé pour un an.,The SSL certificate was renewed for a year.,INFRA
Le certificat SSL est usurpé par un site de phishing.,The SSL certificate is spoofed by a phishing site.,CYBER
L'en-tête HTTP valide le format de l'email.,The HTTP header validates email format.,INFRA
L'en-tête HTTP contient un script XSS.,The HTTP header contains an XSS script.,CYBER
La base de données SQL a été renouvelé pour un an.,The SQL database was renewed for a year.,INFRA
La base de données SQL subit un fuzzing intensif.,The SQL database is undergoing intensive fuzzing.,CYBER
L'endpoint API a été renouvelé pour un an.,The API endpoint was renewed for a year.,INFRA
L'endpoint API est usurpé par un site de phishing.,The API endpoint is spoofed by a phishing site.,CYBER
L'endpoint API est en cours de migration.,The API endpoint is migrating.,INFRA
L'endpoint API révèle une faille Apache Struts.,The API endpoint reveals an Apache Struts vulnerability.,CYBER
Le formulaire d'upload a été renouvelé pour un an.,The upload form was renewed for a year.,INFRA
Le formulaire d'upload subit une injection SQL.,The upload form is undergoing SQL injection.,CYBER
La page de login expire dans 24 heures.,The login page expires in 24 hours.,INFRA
La page de login subit un fuzzing intensif.,The login page is undergoing intensive fuzzing.,CYBER
Le certificat SSL valide le format de l'email.,The SSL certificate validates email format.,INFRA
Le certificat SSL accepte des fichiers exécutables.,The SSL certificate accepts executable files.,CYBER
Le champ de saisie valide le format de l'email.,The input field validates email format.,INFRA
Le champ de saisie subit une injection SQL.,The input field is undergoing SQL injection.,CYBER
La base de données SQL est en maintenance.,The SQL database is under maintenance.,INFRA
La base de données SQL a été volé par un script tiers.,The SQL database was stolen by a third-party script.,CYBER
L'en-tête HTTP a été renouvelé pour un an.,The HTTP header was renewed for a year.,INFRA
L'en-tête HTTP est usurpé par un site de phishing.,The HTTP header is spoofed by a phishing site.,CYBER
L'endpoint API valide le format de l'email.,The API endpoint validates email format.,INFRA
L'endpoint API accepte des fichiers exécutables.,The API endpoint accepts executable files.,CYBER
La base de données SQL est en cours de migration.,The SQL database is migrating.,INFRA
La base de données SQL subit une injection SQL.,The SQL database is undergoing SQL injection.,CYBER
Le cookie de session contient la version du navigateur.,The session cookie contains browser version.,INFRA
Le cookie de session a été volé par un script tiers.,The session cookie was stolen by a third-party script.,CYBER
L'en-tête HTTP est en maintenance.,The HTTP header is under maintenance.,INFRA
L'en-tête HTTP subit une injection SQL.,The HTTP header is undergoing SQL injection.,CYBER
L'endpoint API contient la version du navigateur.,The API endpoint contains browser version.,INFRA
L'endpoint API subit une injection SQL.,The API endpoint is undergoing SQL injection.,CYBER
Le champ de saisie expire dans 24 heures.,The input field expires in 24 hours.,INFRA
Le champ de saisie contient un script XSS.,The input field contains an XSS script.,CYBER
Le champ de saisie est en cours de migration.,The input field is migrating.,INFRA
Le champ de saisie a été volé par un script tiers.,The input field was stolen by a third-party script.,CYBER
Le certificat SSL contient la version du navigateur.,The SSL certificate contains browser version.,INFRA
Le certificat SSL est usurpé par un site de phishing.,The SSL certificate is spoofed by a phishing site.,CYBER
L'endpoint API expire dans 24 heures.,The API endpoint expires in 24 hours.,INFRA
L'endpoint API subit un fuzzing intensif.,The API endpoint is undergoing intensive fuzzing.,CYBER
L'en-tête HTTP valide le format de l'email.,The HTTP header validates email format.,INFRA
L'en-tête HTTP révèle une faille Apache Struts.,The HTTP header reveals an Apache Struts vulnerability.,CYBER
La base de données SQL valide le format de l'email.,The SQL database validates email format.,INFRA
La base de données SQL contient un script XSS.,The SQL database contains an XSS script.,CYBER
Le certificat SSL contient la version du navigateur.,The SSL certificate contains browser version.,INFRA
Le certificat SSL a été volé par un script tiers.,The SSL certificate was stolen by a third-party script.,CYBER
Le champ de saisie est en cours de migration.,The input field is migrating.,INFRA
Le champ de saisie accepte des fichiers exécutables.,The input field accepts executable files.,CYBER
L'endpoint API renvoie un code 200 OK.,The API endpoint returns a 200 OK code.,INFRA
L'endpoint API accepte des fichiers exécutables.,The API endpoint accepts executable files.,CYBER
Le bucket S3 donne accès à EC2 en lecture.,The S3 bucket gives read access to EC2.,INFRA
Le bucket S3 contient des secrets en clair.,The S3 bucket contains hardcoded secrets.,CYBER
Le Security Group autorise le port 80.,The Security Group allows port 80.,INFRA
Le Security Group est trop permissif (AdminAccess).,The Security Group is too permissive (AdminAccess).,CYBER
Le fichier Terraform donne accès à EC2 en lecture.,The Terraform file gives read access to EC2.,INFRA
Le fichier Terraform est trop permissif (AdminAccess).,The Terraform file is too permissive (AdminAccess).,CYBER
Le rôle IAM a été révoquée par sécurité.,The IAM role was revoked for security.,INFRA
