Phrase,English_Equivalent,Topic
Au fait mon amour j'ai fait à manger.,By the way my love I made dinner.,LOVE
Hello ma puce bon appétit.,Hello honey enjoy your meal.,LOVE
E j s,n ' i,TECH
"N c, i","o o, l",INFRA
je pense à toi. mon amour à demain.,I'm thinking of you. my love see you tomorrow.,LOVE
Coucou bébé j'ai fait à manger.,Hey baby I made dinner.,LOVE
D i d,é l é,ACCOUNTING
J i c,e l ',ACCOUNTING
E i m,n l e,ACCOUNTING
fais de beaux rêves. bébé à demain.,sweet dreams. baby see you tomorrow.,LOVE
D j m,é e e,TECH
fais de beaux rêves. mon ange à demain.,sweet dreams. my angel see you tomorrow.,LOVE
tu as bien dormi ? bébé à demain.,did you sleep well? baby see you tomorrow.,LOVE
Coucou mon cœur je pense à toi.,Hey sweetheart I'm thinking of you.,LOVE
tu rentres à quelle heure ? trésor à demain.,what time are you coming home? treasure see you tomorrow.,LOVE
Coucou trésor bon appétit.,Hey treasure enjoy your meal.,LOVE
L d,a o,ACCOUNTING
appelle-moi quand tu peux. mon amour à demain.,call me when you can. my love see you tomorrow.,LOVE
Je dois retirer de l'argent pour le resto.,I need to withdraw cash for the restaurant.,MISC
E t m,n u e,ACCOUNTING
Yo trésor appelle-moi quand tu peux.,Yo treasure call me when you can.,LOVE
tu me manques. mon cœur à demain.,I miss you. sweetheart see you tomorrow.,LOVE
appelle-moi quand tu peux. trésor à demain.,call me when you can. treasure see you tomorrow.,LOVE
tu rentres à quelle heure ? ma vie à demain.,what time are you coming home? my life see you tomorrow.,LOVE
"L s, o","e o, p",INFRA
L e,e s,ACCOUNTING
T i,u l,GOSSIP
Au fait mon ange fais de beaux rêves.,By the way my angel sweet dreams.,LOVE
Hello bébé tu me manques.,Hello baby I miss you.,LOVE
La machine à café est en panne.,The coffee machine is broken.,MISC
Yo trésor fais de beaux rêves.,Yo treasure sweet dreams.,LOVE
Bonsoir bébé je pense à toi.,Good evening baby I'm thinking of you.,LOVE
J j d,e e é,TECH
tu me manques. mon amour à demain.,I miss you. my love see you tomorrow.,LOVE
Yo mon ange tu as bien dormi ?,Yo my angel did you sleep well?,LOVE
Ça va mon ange bon appétit.,How are you my angel enjoy your meal.,LOVE
A i m,v l e,ACCOUNTING
Yo mon amour tu me manques.,Yo my love I miss you.,LOVE
J t m,e u e,ACCOUNTING
E l d,n a é,ACCOUNTING
bon appétit. ma chérie à demain.,enjoy your meal. darling see you tomorrow.,LOVE
Hello bébé je pense à toi.,Hello baby I'm thinking of you.,LOVE
Au fait ma puce appelle-moi quand tu peux.,By the way honey call me when you can.,LOVE
"L t, p","e o, a",INFRA
Bonsoir trésor tu as bien dormi ?,Good evening treasure did you sleep well?,LOVE
Coucou ma vie bon appétit.,Hey my life enjoy your meal.,LOVE
Dis-moi mon ange tu me manques.,Tell me my angel I miss you.,LOVE
tu as bien dormi ? mon amour à demain.,did you sleep well? my love see you tomorrow.,LOVE
tu as bien dormi ? trésor à demain.,did you sleep well? treasure see you tomorrow.,LOVE
Bonsoir trésor bon appétit.,Good evening treasure enjoy your meal.,LOVE
Yo ma vie je pense à toi.,Yo my life I'm thinking of you.,LOVE
"N t, i","o o, l",INFRA
tu rentres à quelle heure ? mon amour à demain.,what time are you coming home? my love see you tomorrow.,LOVE
A j c,v e ',TECH
Salut mon cœur tu as bien dormi ?,Hi sweetheart did you sleep well?,LOVE
Au fait bébé bon appétit.,By the way baby enjoy your meal.,LOVE
D j s,é e i,TECH
D l m,é a e,TECH
appelle-moi quand tu peux. ma vie à demain.,call me when you can. my life see you tomorrow.,LOVE
Yo bébé appelle-moi quand tu peux.,Yo baby call me when you can.,LOVE
E t s,n u i,ACCOUNTING
Coucou ma vie fais de beaux rêves.,Hey my life sweet dreams.,LOVE
Ça va mon cœur bon appétit.,How are you sweetheart enjoy your meal.,LOVE
tu me manques. ma vie à demain.,I miss you. my life see you tomorrow.,LOVE
E j m,n ' e,TECH
tu as bien dormi ? ma vie à demain.,did you sleep well? my life see you tomorrow.,LOVE
Yo trésor bon appétit.,Yo treasure enjoy your meal.,LOVE
Salut ma puce tu rentres à quelle heure ?,Hi honey what time are you coming home?,LOVE
"N s, s","o o, u",INFRA
bon appétit. mon cœur à demain.,enjoy your meal. sweetheart see you tomorrow.,LOVE
fais de beaux rêves. ma vie à demain.,sweet dreams. my life see you tomorrow.,LOVE
Au fait ma chérie tu rentres à quelle heure ?,By the way darling what time are you coming home?,LOVE
"L g, p","e a, a",INFRA
Hello ma puce tu as bien dormi ?,Hello honey did you sleep well?,LOVE
Salut mon ange j'ai fait à manger.,Hi my angel I made dinner.,LOVE
"L c, i","e o, l",INFRA
Bonsoir trésor j'ai fait à manger.,Good evening treasure I made dinner.,LOVE
je pense à toi. ma vie à demain.,I'm thinking of you. my life see you tomorrow.,LOVE
J'ai oublié mon ordinateur dans le train.,I left my computer on the train.,MISC
Coucou mon cœur tu me manques.,Hey sweetheart I miss you.,LOVE
Yo mon amour bon appétit.,Yo my love enjoy your meal.,LOVE
"L c, o","e o, p",INFRA
L n,e é,ACCOUNTING
Bonsoir bébé fais de beaux rêves.,Good evening baby sweet dreams.,LOVE
J t d,e u é,ACCOUNTING
E i d,n l é,ACCOUNTING
Mon sac d'ordinateur est trop lourd.,My laptop bag is too heavy.,MISC
Dis-moi ma puce fais de beaux rêves.,Tell me honey sweet dreams.,LOVE
j'ai fait à manger. ma vie à demain.,I made dinner. my life see you tomorrow.,LOVE
Hello mon amour tu as bien dormi ?,Hello my love did you sleep well?,LOVE
D p c,é e ',ACCOUNTING
"L c, p","e o, a",INFRA
fais de beaux rêves. mon amour à demain.,sweet dreams. my love see you tomorrow.,LOVE
Au fait ma puce tu as bien dormi ?,By the way honey did you sleep well?,LOVE
Tu me dois 5 euros pour le café.,You owe me 5 euros for the coffee.,MISC
bon appétit. trésor à demain.,enjoy your meal. treasure see you tomorrow.,LOVE
D t m,é u e,ACCOUNTING
A i d,v l é,ACCOUNTING
Yo ma puce tu rentres à quelle heure ?,Yo honey what time are you coming home?,LOVE
Salut trésor appelle-moi quand tu peux.,Hi treasure call me when you can.,LOVE
T e,u l,GOSSIP
J i,e l,HR_COMPLAINT
Salut mon cœur j'ai fait à manger.,Hi sweetheart I made dinner.,LOVE
J l c,e a ',TECH
Ça va mon ange appelle-moi quand tu peux.,How are you my angel call me when you can.,LOVE
E l s,n a i,TECH
Ça va trésor tu me manques.,How are you treasure I miss you.,LOVE
J'ai trouvé une pièce par terre.,I found a coin on the ground.,MISC
Yo ma chérie je pense à toi.,Yo darling I'm thinking of you.,LOVE
Salut trésor tu rentres à quelle heure ?,Hi treasure what time are you coming home?,LOVE
fais de beaux rêves. trésor à demain.,sweet dreams. treasure see you tomorrow.,LOVE
Bonsoir ma puce bon appétit.,Good evening honey enjoy your meal.,LOVE
A l m,v a e,ACCOUNTING
Coucou mon cœur tu rentres à quelle heure ?,Hey sweetheart what time are you coming home?,LOVE
Au fait mon ange bon appétit.,By the way my angel enjoy your meal.,LOVE
Yo trésor tu rentres à quelle heure ?,Yo treasure what time are you coming home?,LOVE
Yo mon cœur fais de beaux rêves.,Yo sweetheart sweet dreams.,LOVE
Bonsoir mon ange je pense à toi.,Good evening my angel I'm thinking of you.,LOVE
E p c,n e ',ACCOUNTING
"L g, s","e a, u",INFRA
D l d,é a é,TECH
Yo ma chérie tu me manques.,Yo darling I miss you.,LOVE
tu as bien dormi ? mon cœur à demain.,did you sleep well? sweetheart see you tomorrow.,LOVE
J j m,e e e,ACCOUNTING
tu rentres à quelle heure ? ma puce à demain.,what time are you coming home? honey see you tomorrow.,LOVE
Coucou ma chérie bon appétit.,Hey darling enjoy your meal.,LOVE
Au fait mon cœur appelle-moi quand tu peux.,By the way sweetheart call me when you can.,LOVE
Dis-moi mon amour j'ai fait à manger.,Tell me my love I made dinner.,LOVE
Bonsoir mon ange j'ai fait à manger.,Good evening my angel I made dinner.,LOVE
E p s,n e i,ACCOUNTING
Hello ma puce appelle-moi quand tu peux.,Hello honey call me when you can.,LOVE
E l m,n e e,TECH
J s,e o,HR_COMPLAINT
Hello mon ange tu rentres à quelle heure ?,Hello my angel what time are you coming home?,LOVE
C s,' o,HR_COMPLAINT
Le chef a ramené des croissants.,The boss brought croissants.,MISC
Au fait trésor j'ai fait à manger.,By the way treasure I made dinner.,LOVE
J j s,e e i,TECH
j'ai fait à manger. mon cœur à demain.,I made dinner. sweetheart see you tomorrow.,LOVE
"L t, i","e o, l",INFRA
L a,a  ,ACCOUNTING
C e,' l,GOSSIP
je pense à toi. bébé à demain.,I'm thinking of you. baby see you tomorrow.,LOVE
"L t, o","e o, n",INFRA
"N t, o","o o, n",INFRA
Au fait trésor tu as bien dormi ?,By the way treasure did you sleep well?,LOVE
A l c,v a ',ACCOUNTING
Coucou ma puce bon appétit.,Hey honey enjoy your meal.,LOVE
Coucou ma chérie j'ai fait à manger.,Hey darling I made dinner.,LOVE
appelle-moi quand tu peux. mon ange à demain.,call me when you can. my angel see you tomorrow.,LOVE
Ça va mon cœur je pense à toi.,How are you sweetheart I'm thinking of you.,LOVE
Salut mon ange fais de beaux rêves.,Hi my angel sweet dreams.,LOVE
C i,' l,HR_COMPLAINT
E p m,n e e,ACCOUNTING
Je vais au bureau en vélo aujourd'hui.,I'm biking to the office today.,MISC
Au fait ma chérie j'ai fait à manger.,By the way darling I made dinner.,LOVE
J j,e e,HR_COMPLAINT
Ça va mon amour tu me manques.,How are you my love I miss you.,LOVE
Ça va mon cœur tu me manques.,How are you sweetheart I miss you.,LOVE
Salut trésor j'ai fait à manger.,Hi treasure I made dinner.,LOVE
"N t, s","o o, u",INFRA
Dis-moi bébé appelle-moi quand tu peux.,Tell me baby call me when you can.,LOVE
Bonsoir ma puce tu me manques.,Good evening honey I miss you.,LOVE
Hello trésor je pense à toi.,Hello treasure I'm thinking of you.,LOVE
J l m,e e e,TECH
Hello ma chérie tu as bien dormi ?,Hello darling did you sleep well?,LOVE
Yo trésor je pense à toi.,Yo treasure I'm thinking of you.,LOVE
C c,' ',GOSSIP
D p s,é e i,ACCOUNTING
F i,r l,GOSSIP
J l,e ',HR_COMPLAINT
fais de beaux rêves. mon cœur à demain.,sweet dreams. sweetheart see you tomorrow.,LOVE
D i c,é l ',ACCOUNTING
A l s,v a i,TECH
J p s,e e i,ACCOUNTING
D i m,é l e,ACCOUNTING
A t c,v u ',ACCOUNTING
appelle-moi quand tu peux. mon cœur à demain.,call me when you can. sweetheart see you tomorrow.,LOVE
E i c,n l ',TECH
Dis-moi mon amour fais de beaux rêves.,Tell me my love sweet dreams.,LOVE
tu me manques. bébé à demain.,I miss you. baby see you tomorrow.,LOVE
A l d,v a é,TECH
Au fait mon cœur bon appétit.,By the way sweetheart enjoy your meal.,LOVE
Coucou mon ange bon appétit.,Hey my angel enjoy your meal.,LOVE
Salut mon amour j'ai fait à manger.,Hi my love I made dinner.,LOVE
Bonsoir ma chérie appelle-moi quand tu peux.,Good evening darling call me when you can.,LOVE
J l s,e a i,TECH
Bonsoir mon amour tu as bien dormi ?,Good evening my love did you sleep well?,LOVE
Coucou trésor tu rentres à quelle heure ?,Hey treasure what time are you coming home?,LOVE
Hello ma puce tu rentres à quelle heure ?,Hello honey what time are you coming home?,LOVE
A i c,v l ',ACCOUNTING
Ça va ma vie tu me manques.,How are you my life I miss you.,LOVE
Bonsoir bébé tu as bien dormi ?,Good evening baby did you sleep well?,LOVE
Salut mon ange tu as bien dormi ?,Hi my angel did you sleep well?,LOVE
je pense à toi. ma chérie à demain.,I'm thinking of you. darling see you tomorrow.,LOVE
tu rentres à quelle heure ? ma chérie à demain.,what time are you coming home? darling see you tomorrow.,LOVE
Bonsoir ma chérie tu rentres à quelle heure ?,Good evening darling what time are you coming home?,LOVE
bon appétit. ma puce à demain.,enjoy your meal. honey see you tomorrow.,LOVE
Au fait mon ange tu me manques.,By the way my angel I miss you.,LOVE
E l c,n a ',ACCOUNTING
"L g, i","e a, l",INFRA
bon appétit. mon ange à demain.,enjoy your meal. my angel see you tomorrow.,LOVE
bon appétit. mon amour à demain.,enjoy your meal. my love see you tomorrow.,LOVE
Au fait ma vie j'ai fait à manger.,By the way my life I made dinner.,LOVE
Dis-moi mon cœur bon appétit.,Tell me sweetheart enjoy your meal.,LOVE
Dis-moi ma chérie je pense à toi.,Tell me darling I'm thinking of you.,LOVE
appelle-moi quand tu peux. bébé à demain.,call me when you can. baby see you tomorrow.,LOVE
A p c,v e ',ACCOUNTING
E j c,n e ',ACCOUNTING
Ça va ma chérie tu me manques.,How are you darling I miss you.,LOVE
C l,' ',HR_COMPLAINT
Hello ma vie tu rentres à quelle heure ?,Hello my life what time are you coming home?,LOVE
Hello ma puce fais de beaux rêves.,Hello honey sweet dreams.,LOVE
Il faut nettoyer l'écran de la télé.,Need to clean the TV screen.,MISC
Il fait trop chaud dans l'open space.,It's too hot in the open space.,MISC
T c,u ',GOSSIP
D l s,é a i,ACCOUNTING
je pense à toi. mon cœur à demain.,I'm thinking of you. sweetheart see you tomorrow.,LOVE
tu as bien dormi ? ma chérie à demain.,did you sleep well? darling see you tomorrow.,LOVE
Hello mon cœur je pense à toi.,Hello sweetheart I'm thinking of you.,LOVE
j'ai fait à manger. mon amour à demain.,I made dinner. my love see you tomorrow.,LOVE
Coucou ma vie tu as bien dormi ?,Hey my life did you sleep well?,LOVE
tu as bien dormi ? ma puce à demain.,did you sleep well? honey see you tomorrow.,LOVE
tu me manques. trésor à demain.,I miss you. treasure see you tomorrow.,LOVE
Hello mon cœur appelle-moi quand tu peux.,Hello sweetheart call me when you can.,LOVE
je pense à toi. ma puce à demain.,I'm thinking of you. honey see you tomorrow.,LOVE
J i d,e l é,ACCOUNTING
Hello trésor tu as bien dormi ?,Hello treasure did you sleep well?,LOVE
D j c,é e ',ACCOUNTING
"L s, i","e o, l",INFRA
Coucou bébé bon appétit.,Hey baby enjoy your meal.,LOVE
"L g, o","e a, p",INFRA
J p c,e e ',ACCOUNTING
J l d,e a é,TECH
j'ai fait à manger. ma chérie à demain.,I made dinner. darling see you tomorrow.,LOVE
J i s,e l i,ACCOUNTING
"L c, s","e o, u",INFRA
